date,immigration,State
2004-01-01,52,VT
2004-02-01,74,VT
2004-03-01,51,VT
2004-04-01,0,VT
2004-05-01,0,VT
2004-06-01,0,VT
2004-07-01,0,VT
2004-08-01,99,VT
2004-09-01,39,VT
2004-10-01,37,VT
2004-11-01,85,VT
2004-12-01,56,VT
2005-01-01,0,VT
2005-02-01,87,VT
2005-03-01,47,VT
2005-04-01,100,VT
2005-05-01,52,VT
2005-06-01,50,VT
2005-07-01,46,VT
2005-08-01,0,VT
2005-09-01,41,VT
2005-10-01,68,VT
2005-11-01,96,VT
2005-12-01,78,VT
2006-01-01,66,VT
2006-02-01,21,VT
2006-03-01,58,VT
2006-04-01,88,VT
2006-05-01,62,VT
2006-06-01,38,VT
2006-07-01,27,VT
2006-08-01,38,VT
2006-09-01,33,VT
2006-10-01,0,VT
2006-11-01,42,VT
2006-12-01,19,VT
2007-01-01,42,VT
2007-02-01,29,VT
2007-03-01,28,VT
2007-04-01,61,VT
2007-05-01,53,VT
2007-06-01,0,VT
2007-07-01,19,VT
2007-08-01,21,VT
2007-09-01,22,VT
2007-10-01,35,VT
2007-11-01,27,VT
2007-12-01,80,VT
2008-01-01,48,VT
2008-02-01,50,VT
2008-03-01,67,VT
2008-04-01,58,VT
2008-05-01,41,VT
2008-06-01,33,VT
2008-07-01,14,VT
2008-08-01,29,VT
2008-09-01,25,VT
2008-10-01,42,VT
2008-11-01,30,VT
2008-12-01,93,VT
2009-01-01,23,VT
2009-02-01,63,VT
2009-03-01,0,VT
2009-04-01,48,VT
2009-05-01,61,VT
2009-06-01,38,VT
2009-07-01,33,VT
2009-08-01,28,VT
2009-09-01,29,VT
2009-10-01,23,VT
2009-11-01,16,VT
2009-12-01,14,VT
2010-01-01,18,VT
2010-02-01,0,VT
2010-03-01,23,VT
2010-04-01,23,VT
2010-05-01,55,VT
2010-06-01,28,VT
2010-07-01,20,VT
2010-08-01,27,VT
2010-09-01,21,VT
2010-10-01,21,VT
2010-11-01,31,VT
2010-12-01,17,VT
2011-01-01,21,VT
2011-02-01,17,VT
2011-03-01,34,VT
2011-04-01,29,VT
2011-05-01,44,VT
2011-06-01,14,VT
2011-07-01,13,VT
2011-08-01,21,VT
2011-09-01,23,VT
2011-10-01,38,VT
2011-11-01,42,VT
2011-12-01,42,VT
2012-01-01,29,VT
2012-02-01,34,VT
2012-03-01,25,VT
2012-04-01,30,VT
2012-05-01,34,VT
2012-06-01,17,VT
2012-07-01,22,VT
2012-08-01,11,VT
2012-09-01,21,VT
2012-10-01,35,VT
2012-11-01,27,VT
2012-12-01,10,VT
2013-01-01,16,VT
2013-02-01,29,VT
2013-03-01,35,VT
2013-04-01,40,VT
2013-05-01,34,VT
2013-06-01,28,VT
2013-07-01,27,VT
2013-08-01,28,VT
2013-09-01,20,VT
2013-10-01,18,VT
2013-11-01,24,VT
2013-12-01,25,VT
2014-01-01,24,VT
2014-02-01,18,VT
2014-03-01,32,VT
2014-04-01,22,VT
2014-05-01,21,VT
2014-06-01,23,VT
2014-07-01,30,VT
2014-08-01,26,VT
2014-09-01,12,VT
2014-10-01,16,VT
2014-11-01,44,VT
2014-12-01,31,VT
2015-01-01,22,VT
2015-02-01,16,VT
2015-03-01,39,VT
2015-04-01,28,VT
2015-05-01,31,VT
2015-06-01,13,VT
2015-07-01,15,VT
2015-08-01,15,VT
2015-09-01,34,VT
2015-10-01,17,VT
2015-11-01,36,VT
2015-12-01,30,VT
2016-01-01,24,VT
2016-02-01,25,VT
2016-03-01,38,VT
2016-04-01,28,VT
2016-05-01,14,VT
2016-06-01,15,VT
2016-07-01,22,VT
2016-08-01,16,VT
2016-09-01,24,VT
2016-10-01,22,VT
2016-11-01,44,VT
2016-12-01,8,VT
2017-01-01,44,VT
2017-02-01,63,VT
2017-03-01,36,VT
2017-04-01,31,VT
2017-05-01,18,VT
2017-06-01,15,VT
2017-07-01,24,VT
2017-08-01,20,VT
2017-09-01,23,VT
2017-10-01,26,VT
2017-11-01,28,VT
2017-12-01,23,VT
2018-01-01,37,VT
2018-02-01,29,VT
2018-03-01,28,VT
2018-04-01,22,VT
2018-05-01,26,VT
2018-06-01,53,VT
2018-07-01,24,VT
2018-08-01,17,VT
2018-09-01,23,VT
2018-10-01,33,VT
2018-11-01,25,VT
2018-12-01,12,VT
2019-01-01,22,VT
2019-02-01,20,VT
2019-03-01,14,VT
2019-04-01,25,VT
2019-05-01,25,VT
2019-06-01,19,VT
2019-07-01,17,VT
2019-08-01,28,VT
2019-09-01,23,VT
2019-10-01,24,VT
2019-11-01,21,VT
2019-12-01,22,VT
2020-01-01,14,VT
2020-02-01,18,VT
2020-03-01,22,VT
2020-04-01,24,VT
2020-05-01,13,VT
2020-06-01,16,VT
2020-07-01,12,VT
2020-08-01,16,VT
2020-09-01,22,VT
2020-10-01,25,VT
2020-11-01,25,VT
2020-12-01,8,VT
