date,immigration,State,DMA,Full
2008-03-01,36,MI,Detroit ,Detroit MI
2008-04-01,39,MI,Detroit ,Detroit MI
2008-05-01,36,MI,Detroit ,Detroit MI
2008-06-01,32,MI,Detroit ,Detroit MI
2008-07-01,32,MI,Detroit ,Detroit MI
2008-08-01,38,MI,Detroit ,Detroit MI
2008-09-01,31,MI,Detroit ,Detroit MI
2008-10-01,52,MI,Detroit ,Detroit MI
2008-11-01,51,MI,Detroit ,Detroit MI
2008-12-01,41,MI,Detroit ,Detroit MI
2009-01-01,34,MI,Detroit ,Detroit MI
2009-02-01,40,MI,Detroit ,Detroit MI
2009-03-01,41,MI,Detroit ,Detroit MI
2009-04-01,43,MI,Detroit ,Detroit MI
2009-05-01,35,MI,Detroit ,Detroit MI
2009-06-01,35,MI,Detroit ,Detroit MI
2009-07-01,42,MI,Detroit ,Detroit MI
2009-08-01,29,MI,Detroit ,Detroit MI
2009-09-01,37,MI,Detroit ,Detroit MI
2009-10-01,41,MI,Detroit ,Detroit MI
2009-11-01,40,MI,Detroit ,Detroit MI
2009-12-01,35,MI,Detroit ,Detroit MI
2010-01-01,35,MI,Detroit ,Detroit MI
2010-02-01,33,MI,Detroit ,Detroit MI
2010-03-01,36,MI,Detroit ,Detroit MI
2010-04-01,56,MI,Detroit ,Detroit MI
2010-05-01,69,MI,Detroit ,Detroit MI
2010-06-01,54,MI,Detroit ,Detroit MI
2010-07-01,39,MI,Detroit ,Detroit MI
2010-08-01,38,MI,Detroit ,Detroit MI
2010-09-01,43,MI,Detroit ,Detroit MI
2010-10-01,38,MI,Detroit ,Detroit MI
2010-11-01,40,MI,Detroit ,Detroit MI
2010-12-01,32,MI,Detroit ,Detroit MI
2011-01-01,33,MI,Detroit ,Detroit MI
2011-02-01,28,MI,Detroit ,Detroit MI
2011-03-01,34,MI,Detroit ,Detroit MI
2011-04-01,26,MI,Detroit ,Detroit MI
2011-05-01,29,MI,Detroit ,Detroit MI
2011-06-01,27,MI,Detroit ,Detroit MI
2011-07-01,22,MI,Detroit ,Detroit MI
2011-08-01,23,MI,Detroit ,Detroit MI
2011-09-01,28,MI,Detroit ,Detroit MI
2011-10-01,30,MI,Detroit ,Detroit MI
2011-11-01,30,MI,Detroit ,Detroit MI
2011-12-01,21,MI,Detroit ,Detroit MI
2012-01-01,28,MI,Detroit ,Detroit MI
2012-02-01,29,MI,Detroit ,Detroit MI
2012-03-01,23,MI,Detroit ,Detroit MI
2012-04-01,25,MI,Detroit ,Detroit MI
2012-05-01,23,MI,Detroit ,Detroit MI
