date,immigration,State,DMA,Full
2013-10-01,31,MO,Kansas City ,Kansas City MO
2013-11-01,27,MO,Kansas City ,Kansas City MO
2013-12-01,22,MO,Kansas City ,Kansas City MO
2014-01-01,28,MO,Kansas City ,Kansas City MO
2014-02-01,28,MO,Kansas City ,Kansas City MO
2014-03-01,27,MO,Kansas City ,Kansas City MO
2014-04-01,20,MO,Kansas City ,Kansas City MO
2014-05-01,29,MO,Kansas City ,Kansas City MO
2014-06-01,21,MO,Kansas City ,Kansas City MO
2014-07-01,29,MO,Kansas City ,Kansas City MO
2014-08-01,21,MO,Kansas City ,Kansas City MO
2014-09-01,29,MO,Kansas City ,Kansas City MO
2014-10-01,32,MO,Kansas City ,Kansas City MO
2014-11-01,73,MO,Kansas City ,Kansas City MO
2014-12-01,28,MO,Kansas City ,Kansas City MO
2015-01-01,22,MO,Kansas City ,Kansas City MO
2015-02-01,25,MO,Kansas City ,Kansas City MO
2015-03-01,29,MO,Kansas City ,Kansas City MO
2015-04-01,26,MO,Kansas City ,Kansas City MO
2015-05-01,28,MO,Kansas City ,Kansas City MO
2015-06-01,21,MO,Kansas City ,Kansas City MO
2015-07-01,20,MO,Kansas City ,Kansas City MO
2015-08-01,23,MO,Kansas City ,Kansas City MO
2015-09-01,29,MO,Kansas City ,Kansas City MO
2015-10-01,30,MO,Kansas City ,Kansas City MO
2015-11-01,34,MO,Kansas City ,Kansas City MO
2015-12-01,23,MO,Kansas City ,Kansas City MO
2016-01-01,25,MO,Kansas City ,Kansas City MO
2016-02-01,26,MO,Kansas City ,Kansas City MO
2016-03-01,27,MO,Kansas City ,Kansas City MO
2016-04-01,22,MO,Kansas City ,Kansas City MO
2016-05-01,19,MO,Kansas City ,Kansas City MO
2016-06-01,27,MO,Kansas City ,Kansas City MO
2016-07-01,14,MO,Kansas City ,Kansas City MO
2016-08-01,17,MO,Kansas City ,Kansas City MO
2016-09-01,27,MO,Kansas City ,Kansas City MO
2016-10-01,27,MO,Kansas City ,Kansas City MO
2016-11-01,52,MO,Kansas City ,Kansas City MO
2016-12-01,20,MO,Kansas City ,Kansas City MO
2017-01-01,60,MO,Kansas City ,Kansas City MO
2017-02-01,73,MO,Kansas City ,Kansas City MO
2017-03-01,32,MO,Kansas City ,Kansas City MO
2017-04-01,25,MO,Kansas City ,Kansas City MO
2017-05-01,21,MO,Kansas City ,Kansas City MO
2017-06-01,18,MO,Kansas City ,Kansas City MO
2017-07-01,15,MO,Kansas City ,Kansas City MO
2017-08-01,25,MO,Kansas City ,Kansas City MO
2017-09-01,31,MO,Kansas City ,Kansas City MO
2017-10-01,27,MO,Kansas City ,Kansas City MO
2017-11-01,22,MO,Kansas City ,Kansas City MO
2017-12-01,22,MO,Kansas City ,Kansas City MO
2018-01-01,31,MO,Kansas City ,Kansas City MO
2018-02-01,29,MO,Kansas City ,Kansas City MO
2018-03-01,24,MO,Kansas City ,Kansas City MO
2018-04-01,24,MO,Kansas City ,Kansas City MO
2018-05-01,25,MO,Kansas City ,Kansas City MO
2018-06-01,55,MO,Kansas City ,Kansas City MO
2018-07-01,28,MO,Kansas City ,Kansas City MO
2018-08-01,25,MO,Kansas City ,Kansas City MO
2018-09-01,30,MO,Kansas City ,Kansas City MO
2018-10-01,38,MO,Kansas City ,Kansas City MO
