date,immigration,State,DMA,Full
2011-03-01,22,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2011-04-01,16,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2011-05-01,20,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2011-06-01,29,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2011-07-01,22,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2011-08-01,18,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2011-09-01,26,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2011-10-01,25,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2011-11-01,22,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2011-12-01,19,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2012-01-01,25,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2012-02-01,23,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2012-03-01,22,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2012-04-01,27,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2012-05-01,12,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2012-06-01,29,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2012-07-01,20,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2012-08-01,11,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2012-09-01,16,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2012-10-01,21,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2012-11-01,14,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2012-12-01,18,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2013-01-01,22,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2013-02-01,38,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2013-03-01,26,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2013-04-01,31,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2013-05-01,29,VA,Richmond-Petersburg ,Richmond-Petersburg VA
2013-06-01,43,VA,Richmond-Petersburg ,Richmond-Petersburg VA
