date,immigration,State,DMA,Full
2009-02-01,48,PA,Philadelphia ,Philadelphia PA
2009-03-01,49,PA,Philadelphia ,Philadelphia PA
2009-04-01,42,PA,Philadelphia ,Philadelphia PA
2009-05-01,40,PA,Philadelphia ,Philadelphia PA
2009-06-01,36,PA,Philadelphia ,Philadelphia PA
2009-07-01,39,PA,Philadelphia ,Philadelphia PA
2009-08-01,36,PA,Philadelphia ,Philadelphia PA
2009-09-01,42,PA,Philadelphia ,Philadelphia PA
2009-10-01,47,PA,Philadelphia ,Philadelphia PA
2009-11-01,42,PA,Philadelphia ,Philadelphia PA
2009-12-01,47,PA,Philadelphia ,Philadelphia PA
2010-01-01,41,PA,Philadelphia ,Philadelphia PA
2010-02-01,41,PA,Philadelphia ,Philadelphia PA
2010-03-01,50,PA,Philadelphia ,Philadelphia PA
2010-04-01,70,PA,Philadelphia ,Philadelphia PA
2010-05-01,90,PA,Philadelphia ,Philadelphia PA
2010-06-01,53,PA,Philadelphia ,Philadelphia PA
2010-07-01,55,PA,Philadelphia ,Philadelphia PA
2010-08-01,43,PA,Philadelphia ,Philadelphia PA
2010-09-01,45,PA,Philadelphia ,Philadelphia PA
2010-10-01,43,PA,Philadelphia ,Philadelphia PA
2010-11-01,50,PA,Philadelphia ,Philadelphia PA
2010-12-01,39,PA,Philadelphia ,Philadelphia PA
2011-01-01,35,PA,Philadelphia ,Philadelphia PA
2011-02-01,36,PA,Philadelphia ,Philadelphia PA
2011-03-01,35,PA,Philadelphia ,Philadelphia PA
2011-04-01,34,PA,Philadelphia ,Philadelphia PA
2011-05-01,32,PA,Philadelphia ,Philadelphia PA
2011-06-01,33,PA,Philadelphia ,Philadelphia PA
2011-07-01,27,PA,Philadelphia ,Philadelphia PA
2011-08-01,29,PA,Philadelphia ,Philadelphia PA
2011-09-01,31,PA,Philadelphia ,Philadelphia PA
2011-10-01,34,PA,Philadelphia ,Philadelphia PA
2011-11-01,32,PA,Philadelphia ,Philadelphia PA
2011-12-01,31,PA,Philadelphia ,Philadelphia PA
2012-01-01,31,PA,Philadelphia ,Philadelphia PA
2012-02-01,31,PA,Philadelphia ,Philadelphia PA
2012-03-01,30,PA,Philadelphia ,Philadelphia PA
2012-04-01,29,PA,Philadelphia ,Philadelphia PA
2012-05-01,28,PA,Philadelphia ,Philadelphia PA
2012-06-01,33,PA,Philadelphia ,Philadelphia PA
2012-07-01,24,PA,Philadelphia ,Philadelphia PA
2012-08-01,26,PA,Philadelphia ,Philadelphia PA
2012-09-01,26,PA,Philadelphia ,Philadelphia PA
2012-10-01,29,PA,Philadelphia ,Philadelphia PA
2012-11-01,28,PA,Philadelphia ,Philadelphia PA
2012-12-01,24,PA,Philadelphia ,Philadelphia PA
2013-01-01,41,PA,Philadelphia ,Philadelphia PA
2013-02-01,45,PA,Philadelphia ,Philadelphia PA
2013-03-01,38,PA,Philadelphia ,Philadelphia PA
2013-04-01,54,PA,Philadelphia ,Philadelphia PA
2013-05-01,49,PA,Philadelphia ,Philadelphia PA
2013-06-01,55,PA,Philadelphia ,Philadelphia PA
2013-07-01,47,PA,Philadelphia ,Philadelphia PA
2013-08-01,38,PA,Philadelphia ,Philadelphia PA
2013-09-01,37,PA,Philadelphia ,Philadelphia PA
2013-10-01,40,PA,Philadelphia ,Philadelphia PA
2013-11-01,44,PA,Philadelphia ,Philadelphia PA
2013-12-01,35,PA,Philadelphia ,Philadelphia PA
2014-01-01,37,PA,Philadelphia ,Philadelphia PA
2014-02-01,41,PA,Philadelphia ,Philadelphia PA
2014-03-01,35,PA,Philadelphia ,Philadelphia PA
2014-04-01,34,PA,Philadelphia ,Philadelphia PA
2014-05-01,35,PA,Philadelphia ,Philadelphia PA
2014-06-01,35,PA,Philadelphia ,Philadelphia PA
2014-07-01,40,PA,Philadelphia ,Philadelphia PA
2014-08-01,33,PA,Philadelphia ,Philadelphia PA
2014-09-01,40,PA,Philadelphia ,Philadelphia PA
2014-10-01,36,PA,Philadelphia ,Philadelphia PA
2014-11-01,70,PA,Philadelphia ,Philadelphia PA
2014-12-01,36,PA,Philadelphia ,Philadelphia PA
2015-01-01,35,PA,Philadelphia ,Philadelphia PA
2015-02-01,37,PA,Philadelphia ,Philadelphia PA
2015-03-01,37,PA,Philadelphia ,Philadelphia PA
2015-04-01,35,PA,Philadelphia ,Philadelphia PA
2015-05-01,35,PA,Philadelphia ,Philadelphia PA
2015-06-01,26,PA,Philadelphia ,Philadelphia PA
2015-07-01,33,PA,Philadelphia ,Philadelphia PA
2015-08-01,31,PA,Philadelphia ,Philadelphia PA
2015-09-01,39,PA,Philadelphia ,Philadelphia PA
2015-10-01,36,PA,Philadelphia ,Philadelphia PA
2015-11-01,41,PA,Philadelphia ,Philadelphia PA
2015-12-01,31,PA,Philadelphia ,Philadelphia PA
2016-01-01,32,PA,Philadelphia ,Philadelphia PA
2016-02-01,33,PA,Philadelphia ,Philadelphia PA
2016-03-01,33,PA,Philadelphia ,Philadelphia PA
2016-04-01,33,PA,Philadelphia ,Philadelphia PA
2016-05-01,28,PA,Philadelphia ,Philadelphia PA
2016-06-01,28,PA,Philadelphia ,Philadelphia PA
2016-07-01,25,PA,Philadelphia ,Philadelphia PA
2016-08-01,24,PA,Philadelphia ,Philadelphia PA
2016-09-01,29,PA,Philadelphia ,Philadelphia PA
2016-10-01,30,PA,Philadelphia ,Philadelphia PA
2016-11-01,54,PA,Philadelphia ,Philadelphia PA
2016-12-01,26,PA,Philadelphia ,Philadelphia PA
2017-01-01,67,PA,Philadelphia ,Philadelphia PA
2017-02-01,92,PA,Philadelphia ,Philadelphia PA
2017-03-01,47,PA,Philadelphia ,Philadelphia PA
2017-04-01,34,PA,Philadelphia ,Philadelphia PA
2017-05-01,34,PA,Philadelphia ,Philadelphia PA
2017-06-01,25,PA,Philadelphia ,Philadelphia PA
2017-07-01,21,PA,Philadelphia ,Philadelphia PA
