,date,condominium for sale,State,DMA,Full
0,2004-01-01,0,NY,New York ,New York NY
1,2004-02-01,0,NY,New York ,New York NY
2,2004-03-01,0,NY,New York ,New York NY
3,2004-04-01,58,NY,New York ,New York NY
4,2004-05-01,93,NY,New York ,New York NY
5,2004-06-01,0,NY,New York ,New York NY
6,2004-07-01,0,NY,New York ,New York NY
7,2004-08-01,52,NY,New York ,New York NY
8,2004-09-01,0,NY,New York ,New York NY
9,2004-10-01,0,NY,New York ,New York NY
10,2004-11-01,54,NY,New York ,New York NY
11,2004-12-01,0,NY,New York ,New York NY
12,2005-01-01,0,NY,New York ,New York NY
13,2005-02-01,0,NY,New York ,New York NY
14,2005-03-01,0,NY,New York ,New York NY
15,2005-04-01,0,NY,New York ,New York NY
16,2005-05-01,0,NY,New York ,New York NY
17,2005-06-01,0,NY,New York ,New York NY
18,2005-07-01,0,NY,New York ,New York NY
19,2005-08-01,0,NY,New York ,New York NY
20,2005-09-01,0,NY,New York ,New York NY
21,2005-10-01,26,NY,New York ,New York NY
22,2005-11-01,100,NY,New York ,New York NY
23,2005-12-01,0,NY,New York ,New York NY
24,2006-01-01,0,NY,New York ,New York NY
25,2006-02-01,17,NY,New York ,New York NY
26,2006-03-01,0,NY,New York ,New York NY
27,2006-04-01,29,NY,New York ,New York NY
28,2006-05-01,0,NY,New York ,New York NY
29,2006-06-01,27,NY,New York ,New York NY
30,2006-07-01,18,NY,New York ,New York NY
31,2006-08-01,24,NY,New York ,New York NY
32,2006-09-01,21,NY,New York ,New York NY
33,2006-10-01,64,NY,New York ,New York NY
34,2006-11-01,0,NY,New York ,New York NY
35,2006-12-01,22,NY,New York ,New York NY
36,2007-01-01,31,NY,New York ,New York NY
37,2007-02-01,0,NY,New York ,New York NY
38,2007-03-01,23,NY,New York ,New York NY
39,2007-04-01,0,NY,New York ,New York NY
40,2007-05-01,20,NY,New York ,New York NY
41,2007-06-01,20,NY,New York ,New York NY
42,2007-07-01,0,NY,New York ,New York NY
43,2007-08-01,8,NY,New York ,New York NY
44,2007-09-01,15,NY,New York ,New York NY
45,2007-10-01,0,NY,New York ,New York NY
46,2007-11-01,0,NY,New York ,New York NY
47,2007-12-01,0,NY,New York ,New York NY
48,2008-01-01,13,NY,New York ,New York NY
49,2008-02-01,25,NY,New York ,New York NY
50,2008-03-01,0,NY,New York ,New York NY
51,2008-04-01,26,NY,New York ,New York NY
52,2008-05-01,0,NY,New York ,New York NY
53,2008-06-01,15,NY,New York ,New York NY
54,2008-07-01,0,NY,New York ,New York NY
55,2008-08-01,8,NY,New York ,New York NY
56,2008-09-01,0,NY,New York ,New York NY
57,2008-10-01,0,NY,New York ,New York NY
58,2008-11-01,0,NY,New York ,New York NY
59,2008-12-01,0,NY,New York ,New York NY
60,2009-01-01,14,NY,New York ,New York NY
61,2009-02-01,0,NY,New York ,New York NY
62,2009-03-01,20,NY,New York ,New York NY
63,2009-04-01,9,NY,New York ,New York NY
64,2009-05-01,23,NY,New York ,New York NY
65,2009-06-01,15,NY,New York ,New York NY
66,2009-07-01,10,NY,New York ,New York NY
67,2009-08-01,11,NY,New York ,New York NY
68,2009-09-01,10,NY,New York ,New York NY
69,2009-10-01,9,NY,New York ,New York NY
70,2009-11-01,0,NY,New York ,New York NY
71,2009-12-01,19,NY,New York ,New York NY
72,2010-01-01,13,NY,New York ,New York NY
73,2010-02-01,19,NY,New York ,New York NY
74,2010-03-01,0,NY,New York ,New York NY
75,2010-04-01,11,NY,New York ,New York NY
76,2010-05-01,14,NY,New York ,New York NY
77,2010-06-01,9,NY,New York ,New York NY
78,2010-07-01,8,NY,New York ,New York NY
79,2010-08-01,12,NY,New York ,New York NY
80,2010-09-01,18,NY,New York ,New York NY
81,2010-10-01,0,NY,New York ,New York NY
82,2010-11-01,10,NY,New York ,New York NY
83,2010-12-01,0,NY,New York ,New York NY
84,2011-01-01,13,NY,New York ,New York NY
85,2011-02-01,6,NY,New York ,New York NY
86,2011-03-01,13,NY,New York ,New York NY
87,2011-04-01,12,NY,New York ,New York NY
88,2011-05-01,9,NY,New York ,New York NY
89,2011-06-01,7,NY,New York ,New York NY
90,2011-07-01,13,NY,New York ,New York NY
91,2011-08-01,15,NY,New York ,New York NY
92,2011-09-01,10,NY,New York ,New York NY
93,2011-10-01,6,NY,New York ,New York NY
94,2011-11-01,8,NY,New York ,New York NY
95,2011-12-01,11,NY,New York ,New York NY
96,2012-01-01,17,NY,New York ,New York NY
97,2012-02-01,11,NY,New York ,New York NY
98,2012-03-01,12,NY,New York ,New York NY
99,2012-04-01,9,NY,New York ,New York NY
100,2012-05-01,7,NY,New York ,New York NY
101,2012-06-01,11,NY,New York ,New York NY
102,2012-07-01,17,NY,New York ,New York NY
103,2012-08-01,16,NY,New York ,New York NY
104,2012-09-01,9,NY,New York ,New York NY
105,2012-10-01,9,NY,New York ,New York NY
106,2012-11-01,10,NY,New York ,New York NY
107,2012-12-01,6,NY,New York ,New York NY
108,2013-01-01,7,NY,New York ,New York NY
109,2013-02-01,9,NY,New York ,New York NY
110,2013-03-01,16,NY,New York ,New York NY
111,2013-04-01,13,NY,New York ,New York NY
112,2013-05-01,13,NY,New York ,New York NY
113,2013-06-01,9,NY,New York ,New York NY
114,2013-07-01,13,NY,New York ,New York NY
115,2013-08-01,15,NY,New York ,New York NY
116,2013-09-01,3,NY,New York ,New York NY
117,2013-10-01,7,NY,New York ,New York NY
118,2013-11-01,7,NY,New York ,New York NY
119,2013-12-01,7,NY,New York ,New York NY
120,2014-01-01,8,NY,New York ,New York NY
121,2014-02-01,9,NY,New York ,New York NY
122,2014-03-01,6,NY,New York ,New York NY
123,2014-04-01,8,NY,New York ,New York NY
124,2014-05-01,15,NY,New York ,New York NY
125,2014-06-01,20,NY,New York ,New York NY
126,2014-07-01,10,NY,New York ,New York NY
127,2014-08-01,13,NY,New York ,New York NY
128,2014-09-01,12,NY,New York ,New York NY
129,2014-10-01,11,NY,New York ,New York NY
130,2014-11-01,11,NY,New York ,New York NY
131,2014-12-01,6,NY,New York ,New York NY
132,2015-01-01,10,NY,New York ,New York NY
133,2015-02-01,17,NY,New York ,New York NY
134,2015-03-01,13,NY,New York ,New York NY
135,2015-04-01,13,NY,New York ,New York NY
136,2015-05-01,12,NY,New York ,New York NY
137,2015-06-01,12,NY,New York ,New York NY
138,2015-07-01,5,NY,New York ,New York NY
139,2015-08-01,17,NY,New York ,New York NY
140,2015-09-01,10,NY,New York ,New York NY
141,2015-10-01,11,NY,New York ,New York NY
142,2015-11-01,5,NY,New York ,New York NY
143,2015-12-01,14,NY,New York ,New York NY
144,2016-01-01,20,NY,New York ,New York NY
145,2016-02-01,12,NY,New York ,New York NY
146,2016-03-01,12,NY,New York ,New York NY
147,2016-04-01,17,NY,New York ,New York NY
148,2016-05-01,13,NY,New York ,New York NY
149,2016-06-01,16,NY,New York ,New York NY
150,2016-07-01,16,NY,New York ,New York NY
151,2016-08-01,20,NY,New York ,New York NY
152,2016-09-01,14,NY,New York ,New York NY
153,2016-10-01,8,NY,New York ,New York NY
154,2016-11-01,17,NY,New York ,New York NY
155,2016-12-01,18,NY,New York ,New York NY
156,2017-01-01,18,NY,New York ,New York NY
157,2017-02-01,13,NY,New York ,New York NY
158,2017-03-01,15,NY,New York ,New York NY
159,2017-04-01,23,NY,New York ,New York NY
160,2017-05-01,17,NY,New York ,New York NY
161,2017-06-01,19,NY,New York ,New York NY
162,2017-07-01,16,NY,New York ,New York NY
163,2017-08-01,14,NY,New York ,New York NY
164,2017-09-01,13,NY,New York ,New York NY
165,2017-10-01,17,NY,New York ,New York NY
166,2017-11-01,13,NY,New York ,New York NY
167,2017-12-01,11,NY,New York ,New York NY
168,2018-01-01,17,NY,New York ,New York NY
169,2018-02-01,17,NY,New York ,New York NY
170,2018-03-01,17,NY,New York ,New York NY
171,2018-04-01,19,NY,New York ,New York NY
172,2018-05-01,15,NY,New York ,New York NY
173,2018-06-01,16,NY,New York ,New York NY
174,2018-07-01,18,NY,New York ,New York NY
175,2018-08-01,12,NY,New York ,New York NY
176,2018-09-01,15,NY,New York ,New York NY
177,2018-10-01,14,NY,New York ,New York NY
178,2018-11-01,7,NY,New York ,New York NY
179,2018-12-01,13,NY,New York ,New York NY
180,2019-01-01,14,NY,New York ,New York NY
181,2019-02-01,13,NY,New York ,New York NY
182,2019-03-01,18,NY,New York ,New York NY
183,2019-04-01,18,NY,New York ,New York NY
184,2019-05-01,15,NY,New York ,New York NY
185,2019-06-01,16,NY,New York ,New York NY
186,2019-07-01,20,NY,New York ,New York NY
187,2019-08-01,8,NY,New York ,New York NY
188,2019-09-01,16,NY,New York ,New York NY
189,2019-10-01,17,NY,New York ,New York NY
190,2019-11-01,16,NY,New York ,New York NY
191,2019-12-01,14,NY,New York ,New York NY
192,2020-01-01,16,NY,New York ,New York NY
193,2020-02-01,19,NY,New York ,New York NY
194,2020-03-01,10,NY,New York ,New York NY
195,2020-04-01,16,NY,New York ,New York NY
196,2020-05-01,17,NY,New York ,New York NY
197,2020-06-01,16,NY,New York ,New York NY
198,2020-07-01,16,NY,New York ,New York NY
199,2020-08-01,18,NY,New York ,New York NY
200,2020-09-01,12,NY,New York ,New York NY
201,2020-10-01,16,NY,New York ,New York NY
202,2020-11-01,10,NY,New York ,New York NY
203,2020-12-01,14,NY,New York ,New York NY
204,2004-01-01,88,TX,Houston ,Houston TX
205,2004-02-01,0,TX,Houston ,Houston TX
206,2004-03-01,0,TX,Houston ,Houston TX
207,2004-04-01,0,TX,Houston ,Houston TX
208,2004-05-01,48,TX,Houston ,Houston TX
209,2004-06-01,0,TX,Houston ,Houston TX
210,2004-07-01,0,TX,Houston ,Houston TX
211,2004-08-01,0,TX,Houston ,Houston TX
212,2004-09-01,0,TX,Houston ,Houston TX
213,2004-10-01,0,TX,Houston ,Houston TX
214,2004-11-01,0,TX,Houston ,Houston TX
215,2004-12-01,0,TX,Houston ,Houston TX
216,2005-01-01,0,TX,Houston ,Houston TX
217,2005-02-01,0,TX,Houston ,Houston TX
218,2005-03-01,32,TX,Houston ,Houston TX
219,2005-04-01,100,TX,Houston ,Houston TX
220,2005-05-01,29,TX,Houston ,Houston TX
221,2005-06-01,0,TX,Houston ,Houston TX
222,2005-07-01,0,TX,Houston ,Houston TX
223,2005-08-01,0,TX,Houston ,Houston TX
224,2005-09-01,0,TX,Houston ,Houston TX
225,2005-10-01,0,TX,Houston ,Houston TX
226,2005-11-01,26,TX,Houston ,Houston TX
227,2005-12-01,0,TX,Houston ,Houston TX
228,2006-01-01,0,TX,Houston ,Houston TX
229,2006-02-01,16,TX,Houston ,Houston TX
230,2006-03-01,0,TX,Houston ,Houston TX
231,2006-04-01,0,TX,Houston ,Houston TX
232,2006-05-01,23,TX,Houston ,Houston TX
233,2006-06-01,0,TX,Houston ,Houston TX
234,2006-07-01,0,TX,Houston ,Houston TX
235,2006-08-01,0,TX,Houston ,Houston TX
236,2006-09-01,54,TX,Houston ,Houston TX
237,2006-10-01,0,TX,Houston ,Houston TX
238,2006-11-01,26,TX,Houston ,Houston TX
239,2006-12-01,0,TX,Houston ,Houston TX
240,2007-01-01,0,TX,Houston ,Houston TX
241,2007-02-01,0,TX,Houston ,Houston TX
242,2007-03-01,0,TX,Houston ,Houston TX
243,2007-04-01,18,TX,Houston ,Houston TX
244,2007-05-01,0,TX,Houston ,Houston TX
245,2007-06-01,0,TX,Houston ,Houston TX
246,2007-07-01,0,TX,Houston ,Houston TX
247,2007-08-01,0,TX,Houston ,Houston TX
248,2007-09-01,0,TX,Houston ,Houston TX
249,2007-10-01,0,TX,Houston ,Houston TX
250,2007-11-01,0,TX,Houston ,Houston TX
251,2007-12-01,0,TX,Houston ,Houston TX
252,2008-01-01,0,TX,Houston ,Houston TX
253,2008-02-01,0,TX,Houston ,Houston TX
254,2008-03-01,15,TX,Houston ,Houston TX
255,2008-04-01,0,TX,Houston ,Houston TX
256,2008-05-01,0,TX,Houston ,Houston TX
257,2008-06-01,0,TX,Houston ,Houston TX
258,2008-07-01,28,TX,Houston ,Houston TX
259,2008-08-01,0,TX,Houston ,Houston TX
260,2008-09-01,0,TX,Houston ,Houston TX
261,2008-10-01,14,TX,Houston ,Houston TX
262,2008-11-01,0,TX,Houston ,Houston TX
263,2008-12-01,0,TX,Houston ,Houston TX
264,2009-01-01,0,TX,Houston ,Houston TX
265,2009-02-01,26,TX,Houston ,Houston TX
266,2009-03-01,9,TX,Houston ,Houston TX
267,2009-04-01,7,TX,Houston ,Houston TX
268,2009-05-01,17,TX,Houston ,Houston TX
269,2009-06-01,0,TX,Houston ,Houston TX
270,2009-07-01,0,TX,Houston ,Houston TX
271,2009-08-01,0,TX,Houston ,Houston TX
272,2009-09-01,6,TX,Houston ,Houston TX
273,2009-10-01,0,TX,Houston ,Houston TX
274,2009-11-01,0,TX,Houston ,Houston TX
275,2009-12-01,12,TX,Houston ,Houston TX
276,2010-01-01,0,TX,Houston ,Houston TX
277,2010-02-01,0,TX,Houston ,Houston TX
278,2010-03-01,0,TX,Houston ,Houston TX
279,2010-04-01,10,TX,Houston ,Houston TX
280,2010-05-01,0,TX,Houston ,Houston TX
281,2010-06-01,0,TX,Houston ,Houston TX
282,2010-07-01,0,TX,Houston ,Houston TX
283,2010-08-01,0,TX,Houston ,Houston TX
284,2010-09-01,0,TX,Houston ,Houston TX
285,2010-10-01,6,TX,Houston ,Houston TX
286,2010-11-01,0,TX,Houston ,Houston TX
287,2010-12-01,0,TX,Houston ,Houston TX
288,2011-01-01,0,TX,Houston ,Houston TX
289,2011-02-01,0,TX,Houston ,Houston TX
290,2011-03-01,0,TX,Houston ,Houston TX
291,2011-04-01,4,TX,Houston ,Houston TX
292,2011-05-01,5,TX,Houston ,Houston TX
293,2011-06-01,0,TX,Houston ,Houston TX
294,2011-07-01,0,TX,Houston ,Houston TX
295,2011-08-01,0,TX,Houston ,Houston TX
296,2011-09-01,0,TX,Houston ,Houston TX
297,2011-10-01,0,TX,Houston ,Houston TX
298,2011-11-01,0,TX,Houston ,Houston TX
299,2011-12-01,0,TX,Houston ,Houston TX
300,2012-01-01,0,TX,Houston ,Houston TX
301,2012-02-01,0,TX,Houston ,Houston TX
302,2012-03-01,0,TX,Houston ,Houston TX
303,2012-04-01,0,TX,Houston ,Houston TX
304,2012-05-01,0,TX,Houston ,Houston TX
305,2012-06-01,2,TX,Houston ,Houston TX
306,2012-07-01,3,TX,Houston ,Houston TX
307,2012-08-01,0,TX,Houston ,Houston TX
308,2012-09-01,0,TX,Houston ,Houston TX
309,2012-10-01,2,TX,Houston ,Houston TX
310,2012-11-01,0,TX,Houston ,Houston TX
311,2012-12-01,3,TX,Houston ,Houston TX
312,2013-01-01,5,TX,Houston ,Houston TX
313,2013-02-01,0,TX,Houston ,Houston TX
314,2013-03-01,2,TX,Houston ,Houston TX
315,2013-04-01,0,TX,Houston ,Houston TX
316,2013-05-01,0,TX,Houston ,Houston TX
317,2013-06-01,2,TX,Houston ,Houston TX
318,2013-07-01,0,TX,Houston ,Houston TX
319,2013-08-01,0,TX,Houston ,Houston TX
320,2013-09-01,0,TX,Houston ,Houston TX
321,2013-10-01,0,TX,Houston ,Houston TX
322,2013-11-01,0,TX,Houston ,Houston TX
323,2013-12-01,0,TX,Houston ,Houston TX
324,2014-01-01,0,TX,Houston ,Houston TX
325,2014-02-01,0,TX,Houston ,Houston TX
326,2014-03-01,3,TX,Houston ,Houston TX
327,2014-04-01,0,TX,Houston ,Houston TX
328,2014-05-01,9,TX,Houston ,Houston TX
329,2014-06-01,0,TX,Houston ,Houston TX
330,2014-07-01,3,TX,Houston ,Houston TX
331,2014-08-01,0,TX,Houston ,Houston TX
332,2014-09-01,4,TX,Houston ,Houston TX
333,2014-10-01,0,TX,Houston ,Houston TX
334,2014-11-01,0,TX,Houston ,Houston TX
335,2014-12-01,0,TX,Houston ,Houston TX
336,2015-01-01,0,TX,Houston ,Houston TX
337,2015-02-01,0,TX,Houston ,Houston TX
338,2015-03-01,2,TX,Houston ,Houston TX
339,2015-04-01,0,TX,Houston ,Houston TX
340,2015-05-01,0,TX,Houston ,Houston TX
341,2015-06-01,0,TX,Houston ,Houston TX
342,2015-07-01,5,TX,Houston ,Houston TX
343,2015-08-01,2,TX,Houston ,Houston TX
344,2015-09-01,0,TX,Houston ,Houston TX
345,2015-10-01,2,TX,Houston ,Houston TX
346,2015-11-01,2,TX,Houston ,Houston TX
347,2015-12-01,2,TX,Houston ,Houston TX
348,2016-01-01,3,TX,Houston ,Houston TX
349,2016-02-01,2,TX,Houston ,Houston TX
350,2016-03-01,0,TX,Houston ,Houston TX
351,2016-04-01,1,TX,Houston ,Houston TX
352,2016-05-01,5,TX,Houston ,Houston TX
353,2016-06-01,0,TX,Houston ,Houston TX
354,2016-07-01,0,TX,Houston ,Houston TX
355,2016-08-01,0,TX,Houston ,Houston TX
356,2016-09-01,0,TX,Houston ,Houston TX
357,2016-10-01,0,TX,Houston ,Houston TX
358,2016-11-01,0,TX,Houston ,Houston TX
359,2016-12-01,3,TX,Houston ,Houston TX
360,2017-01-01,4,TX,Houston ,Houston TX
361,2017-02-01,0,TX,Houston ,Houston TX
362,2017-03-01,2,TX,Houston ,Houston TX
363,2017-04-01,2,TX,Houston ,Houston TX
364,2017-05-01,2,TX,Houston ,Houston TX
365,2017-06-01,2,TX,Houston ,Houston TX
366,2017-07-01,0,TX,Houston ,Houston TX
367,2017-08-01,4,TX,Houston ,Houston TX
368,2017-09-01,0,TX,Houston ,Houston TX
369,2017-10-01,5,TX,Houston ,Houston TX
370,2017-11-01,2,TX,Houston ,Houston TX
371,2017-12-01,0,TX,Houston ,Houston TX
372,2018-01-01,0,TX,Houston ,Houston TX
373,2018-02-01,2,TX,Houston ,Houston TX
374,2018-03-01,1,TX,Houston ,Houston TX
375,2018-04-01,4,TX,Houston ,Houston TX
376,2018-05-01,0,TX,Houston ,Houston TX
377,2018-06-01,0,TX,Houston ,Houston TX
378,2018-07-01,1,TX,Houston ,Houston TX
379,2018-08-01,2,TX,Houston ,Houston TX
380,2018-09-01,0,TX,Houston ,Houston TX
381,2018-10-01,1,TX,Houston ,Houston TX
382,2018-11-01,3,TX,Houston ,Houston TX
383,2018-12-01,0,TX,Houston ,Houston TX
384,2019-01-01,0,TX,Houston ,Houston TX
385,2019-02-01,1,TX,Houston ,Houston TX
386,2019-03-01,1,TX,Houston ,Houston TX
387,2019-04-01,2,TX,Houston ,Houston TX
388,2019-05-01,2,TX,Houston ,Houston TX
389,2019-06-01,1,TX,Houston ,Houston TX
390,2019-07-01,0,TX,Houston ,Houston TX
391,2019-08-01,2,TX,Houston ,Houston TX
392,2019-09-01,0,TX,Houston ,Houston TX
393,2019-10-01,1,TX,Houston ,Houston TX
394,2019-11-01,0,TX,Houston ,Houston TX
395,2019-12-01,2,TX,Houston ,Houston TX
396,2020-01-01,0,TX,Houston ,Houston TX
397,2020-02-01,2,TX,Houston ,Houston TX
398,2020-03-01,3,TX,Houston ,Houston TX
399,2020-04-01,0,TX,Houston ,Houston TX
400,2020-05-01,3,TX,Houston ,Houston TX
401,2020-06-01,0,TX,Houston ,Houston TX
402,2020-07-01,3,TX,Houston ,Houston TX
403,2020-08-01,1,TX,Houston ,Houston TX
404,2020-09-01,0,TX,Houston ,Houston TX
405,2020-10-01,2,TX,Houston ,Houston TX
406,2020-11-01,2,TX,Houston ,Houston TX
407,2020-12-01,0,TX,Houston ,Houston TX
408,2004-01-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
409,2004-02-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
410,2004-03-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
411,2004-04-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
412,2004-05-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
413,2004-06-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
414,2004-07-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
415,2004-08-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
416,2004-09-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
417,2004-10-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
418,2004-11-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
419,2004-12-01,82,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
420,2005-01-01,56,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
421,2005-02-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
422,2005-03-01,100,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
423,2005-04-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
424,2005-05-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
425,2005-06-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
426,2005-07-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
427,2005-08-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
428,2005-09-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
429,2005-10-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
430,2005-11-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
431,2005-12-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
432,2006-01-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
433,2006-02-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
434,2006-03-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
435,2006-04-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
436,2006-05-01,48,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
437,2006-06-01,40,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
438,2006-07-01,98,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
439,2006-08-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
440,2006-09-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
441,2006-10-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
442,2006-11-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
443,2006-12-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
444,2007-01-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
445,2007-02-01,20,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
446,2007-03-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
447,2007-04-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
448,2007-05-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
449,2007-06-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
450,2007-07-01,22,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
451,2007-08-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
452,2007-09-01,49,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
453,2007-10-01,28,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
454,2007-11-01,32,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
455,2007-12-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
456,2008-01-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
457,2008-02-01,27,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
458,2008-03-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
459,2008-04-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
460,2008-05-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
461,2008-06-01,15,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
462,2008-07-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
463,2008-08-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
464,2008-09-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
465,2008-10-01,56,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
466,2008-11-01,15,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
467,2008-12-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
468,2009-01-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
469,2009-02-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
470,2009-03-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
471,2009-04-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
472,2009-05-01,15,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
473,2009-06-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
474,2009-07-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
475,2009-08-01,30,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
476,2009-09-01,13,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
477,2009-10-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
478,2009-11-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
479,2009-12-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
480,2010-01-01,0,FL,Tampa-St. Petersburg (Sarasota) ,Tampa-St. Petersburg (Sarasota) FL
