,date,immigration enforcement,State
0,2004-01-01,59,MN
1,2004-02-01,0,MN
2,2004-03-01,61,MN
3,2004-04-01,0,MN
4,2004-05-01,0,MN
5,2004-06-01,0,MN
6,2004-07-01,0,MN
7,2004-08-01,0,MN
8,2004-09-01,0,MN
9,2004-10-01,0,MN
10,2004-11-01,0,MN
11,2004-12-01,0,MN
12,2005-01-01,48,MN
13,2005-02-01,0,MN
14,2005-03-01,0,MN
15,2005-04-01,0,MN
16,2005-05-01,0,MN
17,2005-06-01,0,MN
18,2005-07-01,0,MN
19,2005-08-01,0,MN
20,2005-09-01,0,MN
21,2005-10-01,0,MN
22,2005-11-01,27,MN
23,2005-12-01,0,MN
24,2006-01-01,0,MN
25,2006-02-01,0,MN
26,2006-03-01,0,MN
27,2006-04-01,18,MN
28,2006-05-01,0,MN
29,2006-06-01,0,MN
30,2006-07-01,35,MN
31,2006-08-01,100,MN
32,2006-09-01,0,MN
33,2006-10-01,0,MN
34,2006-11-01,0,MN
35,2006-12-01,0,MN
36,2007-01-01,0,MN
37,2007-02-01,0,MN
38,2007-03-01,0,MN
39,2007-04-01,0,MN
40,2007-05-01,0,MN
41,2007-06-01,13,MN
42,2007-07-01,0,MN
43,2007-08-01,0,MN
44,2007-09-01,0,MN
45,2007-10-01,37,MN
46,2007-11-01,0,MN
47,2007-12-01,18,MN
48,2008-01-01,11,MN
49,2008-02-01,0,MN
50,2008-03-01,9,MN
51,2008-04-01,0,MN
52,2008-05-01,0,MN
53,2008-06-01,11,MN
54,2008-07-01,0,MN
55,2008-08-01,0,MN
56,2008-09-01,0,MN
57,2008-10-01,9,MN
58,2008-11-01,9,MN
59,2008-12-01,0,MN
60,2009-01-01,8,MN
61,2009-02-01,0,MN
62,2009-03-01,0,MN
63,2009-04-01,0,MN
64,2009-05-01,8,MN
65,2009-06-01,0,MN
66,2009-07-01,40,MN
67,2009-08-01,18,MN
68,2009-09-01,12,MN
69,2009-10-01,0,MN
70,2009-11-01,16,MN
71,2009-12-01,9,MN
72,2010-01-01,17,MN
73,2010-02-01,0,MN
74,2010-03-01,0,MN
75,2010-04-01,33,MN
76,2010-05-01,0,MN
77,2010-06-01,10,MN
78,2010-07-01,10,MN
79,2010-08-01,0,MN
80,2010-09-01,0,MN
81,2010-10-01,6,MN
82,2010-11-01,0,MN
83,2010-12-01,0,MN
84,2011-01-01,4,MN
85,2011-02-01,0,MN
86,2011-03-01,6,MN
87,2011-04-01,3,MN
88,2011-05-01,0,MN
89,2011-06-01,13,MN
90,2011-07-01,0,MN
91,2011-08-01,0,MN
92,2011-09-01,0,MN
93,2011-10-01,3,MN
94,2011-11-01,0,MN
95,2011-12-01,0,MN
96,2012-01-01,25,MN
97,2012-02-01,0,MN
98,2012-03-01,5,MN
99,2012-04-01,0,MN
100,2012-05-01,0,MN
101,2012-06-01,0,MN
102,2012-07-01,0,MN
103,2012-08-01,0,MN
104,2012-09-01,3,MN
105,2012-10-01,0,MN
106,2012-11-01,0,MN
107,2012-12-01,0,MN
108,2013-01-01,7,MN
109,2013-02-01,0,MN
110,2013-03-01,0,MN
111,2013-04-01,8,MN
112,2013-05-01,0,MN
113,2013-06-01,0,MN
114,2013-07-01,0,MN
115,2013-08-01,3,MN
116,2013-09-01,0,MN
117,2013-10-01,7,MN
118,2013-11-01,3,MN
119,2013-12-01,0,MN
120,2014-01-01,0,MN
121,2014-02-01,0,MN
122,2014-03-01,0,MN
123,2014-04-01,2,MN
124,2014-05-01,2,MN
125,2014-06-01,0,MN
126,2014-07-01,5,MN
127,2014-08-01,0,MN
128,2014-09-01,0,MN
129,2014-10-01,0,MN
130,2014-11-01,0,MN
131,2014-12-01,6,MN
132,2015-01-01,0,MN
133,2015-02-01,0,MN
134,2015-03-01,0,MN
135,2015-04-01,0,MN
136,2015-05-01,4,MN
137,2015-06-01,0,MN
138,2015-07-01,0,MN
139,2015-08-01,3,MN
140,2015-09-01,0,MN
141,2015-10-01,0,MN
142,2015-11-01,6,MN
143,2015-12-01,6,MN
144,2016-01-01,3,MN
145,2016-02-01,0,MN
146,2016-03-01,0,MN
147,2016-04-01,0,MN
148,2016-05-01,4,MN
149,2016-06-01,0,MN
150,2016-07-01,0,MN
151,2016-08-01,0,MN
152,2016-09-01,0,MN
153,2016-10-01,0,MN
154,2016-11-01,3,MN
155,2016-12-01,7,MN
156,2017-01-01,6,MN
157,2017-02-01,8,MN
158,2017-03-01,3,MN
159,2017-04-01,4,MN
160,2017-05-01,0,MN
161,2017-06-01,0,MN
162,2017-07-01,0,MN
163,2017-08-01,3,MN
164,2017-09-01,3,MN
165,2017-10-01,3,MN
166,2017-11-01,0,MN
167,2017-12-01,3,MN
168,2018-01-01,0,MN
169,2018-02-01,7,MN
170,2018-03-01,5,MN
171,2018-04-01,4,MN
172,2018-05-01,7,MN
173,2018-06-01,3,MN
174,2018-07-01,4,MN
175,2018-08-01,5,MN
176,2018-09-01,2,MN
177,2018-10-01,0,MN
178,2018-11-01,4,MN
179,2018-12-01,0,MN
180,2019-01-01,3,MN
181,2019-02-01,3,MN
182,2019-03-01,3,MN
183,2019-04-01,0,MN
184,2019-05-01,0,MN
185,2019-06-01,0,MN
186,2019-07-01,0,MN
187,2019-08-01,2,MN
188,2019-09-01,0,MN
189,2019-10-01,0,MN
190,2019-11-01,0,MN
191,2019-12-01,0,MN
192,2020-01-01,4,MN
193,2020-02-01,0,MN
194,2020-03-01,0,MN
195,2020-04-01,0,MN
196,2020-05-01,3,MN
197,2020-06-01,0,MN
198,2020-07-01,4,MN
199,2020-08-01,0,MN
200,2020-09-01,2,MN
201,2020-10-01,0,MN
202,2020-11-01,0,MN
203,2020-12-01,0,MN
204,2004-01-01,0,AZ
205,2004-02-01,100,AZ
206,2004-03-01,0,AZ
207,2004-04-01,0,AZ
208,2004-05-01,48,AZ
209,2004-06-01,0,AZ
210,2004-07-01,0,AZ
211,2004-08-01,0,AZ
212,2004-09-01,36,AZ
213,2004-10-01,0,AZ
214,2004-11-01,0,AZ
215,2004-12-01,0,AZ
216,2005-01-01,0,AZ
217,2005-02-01,0,AZ
218,2005-03-01,75,AZ
219,2005-04-01,0,AZ
220,2005-05-01,0,AZ
221,2005-06-01,0,AZ
222,2005-07-01,0,AZ
223,2005-08-01,25,AZ
224,2005-09-01,0,AZ
225,2005-10-01,0,AZ
226,2005-11-01,45,AZ
227,2005-12-01,0,AZ
228,2006-01-01,0,AZ
229,2006-02-01,27,AZ
230,2006-03-01,0,AZ
231,2006-04-01,0,AZ
232,2006-05-01,25,AZ
233,2006-06-01,0,AZ
234,2006-07-01,0,AZ
235,2006-08-01,19,AZ
236,2006-09-01,0,AZ
237,2006-10-01,0,AZ
238,2006-11-01,0,AZ
239,2006-12-01,0,AZ
240,2007-01-01,21,AZ
241,2007-02-01,21,AZ
242,2007-03-01,17,AZ
243,2007-04-01,0,AZ
244,2007-05-01,0,AZ
245,2007-06-01,11,AZ
246,2007-07-01,13,AZ
247,2007-08-01,10,AZ
248,2007-09-01,21,AZ
249,2007-10-01,10,AZ
250,2007-11-01,16,AZ
251,2007-12-01,17,AZ
252,2008-01-01,0,AZ
253,2008-02-01,11,AZ
254,2008-03-01,0,AZ
255,2008-04-01,8,AZ
256,2008-05-01,0,AZ
257,2008-06-01,0,AZ
258,2008-07-01,0,AZ
259,2008-08-01,0,AZ
260,2008-09-01,0,AZ
261,2008-10-01,0,AZ
262,2008-11-01,0,AZ
263,2008-12-01,0,AZ
264,2009-01-01,0,AZ
265,2009-02-01,13,AZ
266,2009-03-01,0,AZ
267,2009-04-01,10,AZ
268,2009-05-01,7,AZ
269,2009-06-01,0,AZ
270,2009-07-01,9,AZ
271,2009-08-01,0,AZ
272,2009-09-01,17,AZ
273,2009-10-01,16,AZ
274,2009-11-01,18,AZ
275,2009-12-01,0,AZ
276,2010-01-01,6,AZ
277,2010-02-01,0,AZ
278,2010-03-01,17,AZ
279,2010-04-01,17,AZ
280,2010-05-01,28,AZ
281,2010-06-01,0,AZ
282,2010-07-01,16,AZ
283,2010-08-01,11,AZ
284,2010-09-01,0,AZ
285,2010-10-01,12,AZ
286,2010-11-01,9,AZ
287,2010-12-01,6,AZ
288,2011-01-01,7,AZ
289,2011-02-01,9,AZ
290,2011-03-01,12,AZ
291,2011-04-01,4,AZ
292,2011-05-01,18,AZ
293,2011-06-01,10,AZ
294,2011-07-01,21,AZ
295,2011-08-01,17,AZ
