date,apartment for rent,State,DMA,Full
2011-03-01,41,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2011-04-01,46,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2011-05-01,48,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2011-06-01,41,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2011-07-01,49,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2011-08-01,42,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2011-09-01,35,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2011-10-01,33,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2011-11-01,33,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2011-12-01,22,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2012-01-01,47,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2012-02-01,37,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2012-03-01,44,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2012-04-01,45,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2012-05-01,41,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2012-06-01,39,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2012-07-01,45,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2012-08-01,50,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2012-09-01,35,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2012-10-01,40,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2012-11-01,31,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2012-12-01,26,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2013-01-01,44,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2013-02-01,42,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2013-03-01,48,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2013-04-01,50,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2013-05-01,53,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2013-06-01,54,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2013-07-01,46,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2013-08-01,59,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2013-09-01,43,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2013-10-01,43,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2013-11-01,40,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2013-12-01,42,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2014-01-01,61,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2014-02-01,53,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2014-03-01,67,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2014-04-01,63,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2014-05-01,61,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2014-06-01,60,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2014-07-01,70,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2014-08-01,68,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2014-09-01,55,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2014-10-01,53,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2014-11-01,49,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2014-12-01,42,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2015-01-01,65,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2015-02-01,67,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2015-03-01,77,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2015-04-01,72,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2015-05-01,71,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2015-06-01,77,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2015-07-01,71,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2015-08-01,66,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2015-09-01,66,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2015-10-01,56,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2015-11-01,58,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2015-12-01,49,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2016-01-01,79,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2016-02-01,76,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2016-03-01,75,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2016-04-01,78,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2016-05-01,78,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2016-06-01,77,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2016-07-01,74,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2016-08-01,77,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2016-09-01,56,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2016-10-01,65,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2016-11-01,59,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2016-12-01,58,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2017-01-01,76,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2017-02-01,66,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2017-03-01,76,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2017-04-01,77,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2017-05-01,75,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2017-06-01,74,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2017-07-01,78,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2017-08-01,75,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2017-09-01,70,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2017-10-01,75,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2017-11-01,67,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2017-12-01,62,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2018-01-01,80,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2018-02-01,90,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2018-03-01,71,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2018-04-01,84,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2018-05-01,82,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2018-06-01,84,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2018-07-01,86,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2018-08-01,85,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2018-09-01,81,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2018-10-01,75,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2018-11-01,68,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2018-12-01,66,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2019-01-01,82,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2019-02-01,84,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2019-03-01,90,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2019-04-01,91,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2019-05-01,83,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2019-06-01,98,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2019-07-01,89,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2019-08-01,100,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2019-09-01,87,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2019-10-01,76,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2019-11-01,72,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2019-12-01,63,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2020-01-01,88,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2020-02-01,96,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2020-03-01,60,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2020-04-01,75,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2020-05-01,88,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2020-06-01,98,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2020-07-01,95,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2020-08-01,97,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2020-09-01,87,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2020-10-01,76,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2020-11-01,72,NH,Boston MA-Manchester ,Boston MA-Manchester NH
2020-12-01,68,NH,Boston MA-Manchester ,Boston MA-Manchester NH
