date,housing,State,DMA,Full
2015-11-01,12,TX,Amarillo ,Amarillo TX
2015-12-01,16,TX,Amarillo ,Amarillo TX
2016-01-01,15,TX,Amarillo ,Amarillo TX
2016-02-01,11,TX,Amarillo ,Amarillo TX
2016-03-01,12,TX,Amarillo ,Amarillo TX
2016-04-01,17,TX,Amarillo ,Amarillo TX
2016-05-01,11,TX,Amarillo ,Amarillo TX
2016-06-01,16,TX,Amarillo ,Amarillo TX
2016-07-01,10,TX,Amarillo ,Amarillo TX
2016-08-01,18,TX,Amarillo ,Amarillo TX
2016-09-01,13,TX,Amarillo ,Amarillo TX
2016-10-01,11,TX,Amarillo ,Amarillo TX
2016-11-01,10,TX,Amarillo ,Amarillo TX
2016-12-01,12,TX,Amarillo ,Amarillo TX
2017-01-01,19,TX,Amarillo ,Amarillo TX
2017-02-01,13,TX,Amarillo ,Amarillo TX
2017-03-01,17,TX,Amarillo ,Amarillo TX
2017-04-01,13,TX,Amarillo ,Amarillo TX
2017-05-01,14,TX,Amarillo ,Amarillo TX
2017-06-01,17,TX,Amarillo ,Amarillo TX
2017-07-01,15,TX,Amarillo ,Amarillo TX
2017-08-01,13,TX,Amarillo ,Amarillo TX
2017-09-01,12,TX,Amarillo ,Amarillo TX
2017-10-01,12,TX,Amarillo ,Amarillo TX
2017-11-01,8,TX,Amarillo ,Amarillo TX
2017-12-01,12,TX,Amarillo ,Amarillo TX
2018-01-01,16,TX,Amarillo ,Amarillo TX
2018-02-01,17,TX,Amarillo ,Amarillo TX
2018-03-01,12,TX,Amarillo ,Amarillo TX
2018-04-01,13,TX,Amarillo ,Amarillo TX
2018-05-01,13,TX,Amarillo ,Amarillo TX
2018-06-01,11,TX,Amarillo ,Amarillo TX
2018-07-01,16,TX,Amarillo ,Amarillo TX
2018-08-01,19,TX,Amarillo ,Amarillo TX
2018-09-01,12,TX,Amarillo ,Amarillo TX
2018-10-01,12,TX,Amarillo ,Amarillo TX
2018-11-01,12,TX,Amarillo ,Amarillo TX
2018-12-01,13,TX,Amarillo ,Amarillo TX
2019-01-01,17,TX,Amarillo ,Amarillo TX
2019-02-01,13,TX,Amarillo ,Amarillo TX
2019-03-01,14,TX,Amarillo ,Amarillo TX
2019-04-01,12,TX,Amarillo ,Amarillo TX
2019-05-01,12,TX,Amarillo ,Amarillo TX
2019-06-01,13,TX,Amarillo ,Amarillo TX
2019-07-01,14,TX,Amarillo ,Amarillo TX
2019-08-01,11,TX,Amarillo ,Amarillo TX
2019-09-01,14,TX,Amarillo ,Amarillo TX
2019-10-01,13,TX,Amarillo ,Amarillo TX
2019-11-01,8,TX,Amarillo ,Amarillo TX
2019-12-01,11,TX,Amarillo ,Amarillo TX
2020-01-01,15,TX,Amarillo ,Amarillo TX
2020-02-01,15,TX,Amarillo ,Amarillo TX
2020-03-01,13,TX,Amarillo ,Amarillo TX
2020-04-01,14,TX,Amarillo ,Amarillo TX
2020-05-01,13,TX,Amarillo ,Amarillo TX
2020-06-01,14,TX,Amarillo ,Amarillo TX
2020-07-01,17,TX,Amarillo ,Amarillo TX
2020-08-01,11,TX,Amarillo ,Amarillo TX
2020-09-01,13,TX,Amarillo ,Amarillo TX
2020-10-01,11,TX,Amarillo ,Amarillo TX
2020-11-01,15,TX,Amarillo ,Amarillo TX
2020-12-01,12,TX,Amarillo ,Amarillo TX
