date,housing,State,DMA,Full
2010-12-01,36,IA,Des Moines-Ames ,Des Moines-Ames IA
2011-01-01,48,IA,Des Moines-Ames ,Des Moines-Ames IA
2011-02-01,38,IA,Des Moines-Ames ,Des Moines-Ames IA
2011-03-01,35,IA,Des Moines-Ames ,Des Moines-Ames IA
2011-04-01,36,IA,Des Moines-Ames ,Des Moines-Ames IA
2011-05-01,37,IA,Des Moines-Ames ,Des Moines-Ames IA
2011-06-01,45,IA,Des Moines-Ames ,Des Moines-Ames IA
2011-07-01,36,IA,Des Moines-Ames ,Des Moines-Ames IA
2011-08-01,43,IA,Des Moines-Ames ,Des Moines-Ames IA
2011-09-01,40,IA,Des Moines-Ames ,Des Moines-Ames IA
2011-10-01,34,IA,Des Moines-Ames ,Des Moines-Ames IA
2011-11-01,34,IA,Des Moines-Ames ,Des Moines-Ames IA
2011-12-01,29,IA,Des Moines-Ames ,Des Moines-Ames IA
2012-01-01,41,IA,Des Moines-Ames ,Des Moines-Ames IA
2012-02-01,36,IA,Des Moines-Ames ,Des Moines-Ames IA
2012-03-01,43,IA,Des Moines-Ames ,Des Moines-Ames IA
2012-04-01,38,IA,Des Moines-Ames ,Des Moines-Ames IA
2012-05-01,35,IA,Des Moines-Ames ,Des Moines-Ames IA
2012-06-01,30,IA,Des Moines-Ames ,Des Moines-Ames IA
2012-07-01,39,IA,Des Moines-Ames ,Des Moines-Ames IA
2012-08-01,40,IA,Des Moines-Ames ,Des Moines-Ames IA
2012-09-01,33,IA,Des Moines-Ames ,Des Moines-Ames IA
2012-10-01,35,IA,Des Moines-Ames ,Des Moines-Ames IA
2012-11-01,31,IA,Des Moines-Ames ,Des Moines-Ames IA
2012-12-01,27,IA,Des Moines-Ames ,Des Moines-Ames IA
2013-01-01,36,IA,Des Moines-Ames ,Des Moines-Ames IA
2013-02-01,31,IA,Des Moines-Ames ,Des Moines-Ames IA
2013-03-01,31,IA,Des Moines-Ames ,Des Moines-Ames IA
2013-04-01,40,IA,Des Moines-Ames ,Des Moines-Ames IA
2013-05-01,35,IA,Des Moines-Ames ,Des Moines-Ames IA
2013-06-01,39,IA,Des Moines-Ames ,Des Moines-Ames IA
2013-07-01,36,IA,Des Moines-Ames ,Des Moines-Ames IA
2013-08-01,36,IA,Des Moines-Ames ,Des Moines-Ames IA
2013-09-01,38,IA,Des Moines-Ames ,Des Moines-Ames IA
2013-10-01,35,IA,Des Moines-Ames ,Des Moines-Ames IA
2013-11-01,25,IA,Des Moines-Ames ,Des Moines-Ames IA
2013-12-01,28,IA,Des Moines-Ames ,Des Moines-Ames IA
2014-01-01,32,IA,Des Moines-Ames ,Des Moines-Ames IA
2014-02-01,40,IA,Des Moines-Ames ,Des Moines-Ames IA
2014-03-01,38,IA,Des Moines-Ames ,Des Moines-Ames IA
2014-04-01,39,IA,Des Moines-Ames ,Des Moines-Ames IA
2014-05-01,29,IA,Des Moines-Ames ,Des Moines-Ames IA
2014-06-01,35,IA,Des Moines-Ames ,Des Moines-Ames IA
2014-07-01,41,IA,Des Moines-Ames ,Des Moines-Ames IA
2014-08-01,37,IA,Des Moines-Ames ,Des Moines-Ames IA
2014-09-01,34,IA,Des Moines-Ames ,Des Moines-Ames IA
2014-10-01,32,IA,Des Moines-Ames ,Des Moines-Ames IA
2014-11-01,34,IA,Des Moines-Ames ,Des Moines-Ames IA
2014-12-01,30,IA,Des Moines-Ames ,Des Moines-Ames IA
2015-01-01,37,IA,Des Moines-Ames ,Des Moines-Ames IA
2015-02-01,40,IA,Des Moines-Ames ,Des Moines-Ames IA
2015-03-01,35,IA,Des Moines-Ames ,Des Moines-Ames IA
2015-04-01,39,IA,Des Moines-Ames ,Des Moines-Ames IA
2015-05-01,41,IA,Des Moines-Ames ,Des Moines-Ames IA
2015-06-01,44,IA,Des Moines-Ames ,Des Moines-Ames IA
2015-07-01,40,IA,Des Moines-Ames ,Des Moines-Ames IA
2015-08-01,37,IA,Des Moines-Ames ,Des Moines-Ames IA
2015-09-01,37,IA,Des Moines-Ames ,Des Moines-Ames IA
2015-10-01,32,IA,Des Moines-Ames ,Des Moines-Ames IA
2015-11-01,34,IA,Des Moines-Ames ,Des Moines-Ames IA
2015-12-01,39,IA,Des Moines-Ames ,Des Moines-Ames IA
2016-01-01,44,IA,Des Moines-Ames ,Des Moines-Ames IA
2016-02-01,46,IA,Des Moines-Ames ,Des Moines-Ames IA
2016-03-01,44,IA,Des Moines-Ames ,Des Moines-Ames IA
2016-04-01,44,IA,Des Moines-Ames ,Des Moines-Ames IA
2016-05-01,41,IA,Des Moines-Ames ,Des Moines-Ames IA
2016-06-01,36,IA,Des Moines-Ames ,Des Moines-Ames IA
2016-07-01,44,IA,Des Moines-Ames ,Des Moines-Ames IA
2016-08-01,37,IA,Des Moines-Ames ,Des Moines-Ames IA
2016-09-01,37,IA,Des Moines-Ames ,Des Moines-Ames IA
2016-10-01,35,IA,Des Moines-Ames ,Des Moines-Ames IA
2016-11-01,35,IA,Des Moines-Ames ,Des Moines-Ames IA
2016-12-01,32,IA,Des Moines-Ames ,Des Moines-Ames IA
2017-01-01,40,IA,Des Moines-Ames ,Des Moines-Ames IA
2017-02-01,42,IA,Des Moines-Ames ,Des Moines-Ames IA
2017-03-01,34,IA,Des Moines-Ames ,Des Moines-Ames IA
2017-04-01,42,IA,Des Moines-Ames ,Des Moines-Ames IA
2017-05-01,33,IA,Des Moines-Ames ,Des Moines-Ames IA
2017-06-01,40,IA,Des Moines-Ames ,Des Moines-Ames IA
2017-07-01,39,IA,Des Moines-Ames ,Des Moines-Ames IA
2017-08-01,43,IA,Des Moines-Ames ,Des Moines-Ames IA
2017-09-01,35,IA,Des Moines-Ames ,Des Moines-Ames IA
