date,housing,State,DMA,Full
2017-03-01,54,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-04-01,59,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-05-01,46,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-06-01,36,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-07-01,51,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-08-01,40,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-09-01,35,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-10-01,38,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-11-01,37,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-12-01,29,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-01-01,35,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-02-01,39,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-03-01,43,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-04-01,48,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-05-01,45,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-06-01,39,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-07-01,46,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-08-01,32,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-09-01,36,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-10-01,35,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-11-01,32,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-12-01,25,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-01-01,44,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-02-01,51,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-03-01,49,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-04-01,47,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-05-01,49,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-06-01,51,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-07-01,41,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-08-01,40,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-09-01,43,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-10-01,41,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-11-01,38,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-12-01,39,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-01-01,41,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-02-01,41,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-03-01,39,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-04-01,41,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-05-01,44,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-06-01,39,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-07-01,49,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-08-01,46,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-09-01,40,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-10-01,37,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-11-01,32,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-12-01,37,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
