date,housing,State,DMA,Full
2013-02-01,57,WI,Milwaukee ,Milwaukee WI
2013-03-01,57,WI,Milwaukee ,Milwaukee WI
2013-04-01,66,WI,Milwaukee ,Milwaukee WI
2013-05-01,55,WI,Milwaukee ,Milwaukee WI
2013-06-01,68,WI,Milwaukee ,Milwaukee WI
2013-07-01,78,WI,Milwaukee ,Milwaukee WI
2013-08-01,69,WI,Milwaukee ,Milwaukee WI
2013-09-01,48,WI,Milwaukee ,Milwaukee WI
2013-10-01,45,WI,Milwaukee ,Milwaukee WI
2013-11-01,53,WI,Milwaukee ,Milwaukee WI
2013-12-01,41,WI,Milwaukee ,Milwaukee WI
2014-01-01,60,WI,Milwaukee ,Milwaukee WI
2014-02-01,58,WI,Milwaukee ,Milwaukee WI
2014-03-01,69,WI,Milwaukee ,Milwaukee WI
2014-04-01,61,WI,Milwaukee ,Milwaukee WI
2014-05-01,58,WI,Milwaukee ,Milwaukee WI
2014-06-01,67,WI,Milwaukee ,Milwaukee WI
2014-07-01,70,WI,Milwaukee ,Milwaukee WI
2014-08-01,72,WI,Milwaukee ,Milwaukee WI
2014-09-01,52,WI,Milwaukee ,Milwaukee WI
2014-10-01,45,WI,Milwaukee ,Milwaukee WI
2014-11-01,47,WI,Milwaukee ,Milwaukee WI
2014-12-01,43,WI,Milwaukee ,Milwaukee WI
2015-01-01,57,WI,Milwaukee ,Milwaukee WI
2015-02-01,61,WI,Milwaukee ,Milwaukee WI
2015-03-01,61,WI,Milwaukee ,Milwaukee WI
2015-04-01,74,WI,Milwaukee ,Milwaukee WI
2015-05-01,67,WI,Milwaukee ,Milwaukee WI
2015-06-01,74,WI,Milwaukee ,Milwaukee WI
2015-07-01,75,WI,Milwaukee ,Milwaukee WI
2015-08-01,73,WI,Milwaukee ,Milwaukee WI
2015-09-01,49,WI,Milwaukee ,Milwaukee WI
2015-10-01,56,WI,Milwaukee ,Milwaukee WI
2015-11-01,49,WI,Milwaukee ,Milwaukee WI
2015-12-01,43,WI,Milwaukee ,Milwaukee WI
2016-01-01,59,WI,Milwaukee ,Milwaukee WI
2016-02-01,61,WI,Milwaukee ,Milwaukee WI
2016-03-01,63,WI,Milwaukee ,Milwaukee WI
2016-04-01,72,WI,Milwaukee ,Milwaukee WI
2016-05-01,67,WI,Milwaukee ,Milwaukee WI
2016-06-01,63,WI,Milwaukee ,Milwaukee WI
2016-07-01,68,WI,Milwaukee ,Milwaukee WI
2016-08-01,68,WI,Milwaukee ,Milwaukee WI
2016-09-01,57,WI,Milwaukee ,Milwaukee WI
2016-10-01,54,WI,Milwaukee ,Milwaukee WI
2016-11-01,49,WI,Milwaukee ,Milwaukee WI
2016-12-01,47,WI,Milwaukee ,Milwaukee WI
2017-01-01,58,WI,Milwaukee ,Milwaukee WI
2017-02-01,59,WI,Milwaukee ,Milwaukee WI
2017-03-01,64,WI,Milwaukee ,Milwaukee WI
2017-04-01,64,WI,Milwaukee ,Milwaukee WI
2017-05-01,56,WI,Milwaukee ,Milwaukee WI
2017-06-01,59,WI,Milwaukee ,Milwaukee WI
2017-07-01,65,WI,Milwaukee ,Milwaukee WI
2017-08-01,64,WI,Milwaukee ,Milwaukee WI
2017-09-01,55,WI,Milwaukee ,Milwaukee WI
2017-10-01,56,WI,Milwaukee ,Milwaukee WI
2017-11-01,50,WI,Milwaukee ,Milwaukee WI
2017-12-01,42,WI,Milwaukee ,Milwaukee WI
2018-01-01,51,WI,Milwaukee ,Milwaukee WI
2018-02-01,55,WI,Milwaukee ,Milwaukee WI
2018-03-01,57,WI,Milwaukee ,Milwaukee WI
2018-04-01,66,WI,Milwaukee ,Milwaukee WI
2018-05-01,56,WI,Milwaukee ,Milwaukee WI
2018-06-01,58,WI,Milwaukee ,Milwaukee WI
2018-07-01,60,WI,Milwaukee ,Milwaukee WI
2018-08-01,68,WI,Milwaukee ,Milwaukee WI
2018-09-01,52,WI,Milwaukee ,Milwaukee WI
2018-10-01,50,WI,Milwaukee ,Milwaukee WI
2018-11-01,48,WI,Milwaukee ,Milwaukee WI
2018-12-01,45,WI,Milwaukee ,Milwaukee WI
2019-01-01,54,WI,Milwaukee ,Milwaukee WI
2019-02-01,56,WI,Milwaukee ,Milwaukee WI
2019-03-01,60,WI,Milwaukee ,Milwaukee WI
2019-04-01,59,WI,Milwaukee ,Milwaukee WI
2019-05-01,52,WI,Milwaukee ,Milwaukee WI
2019-06-01,55,WI,Milwaukee ,Milwaukee WI
2019-07-01,54,WI,Milwaukee ,Milwaukee WI
2019-08-01,64,WI,Milwaukee ,Milwaukee WI
2019-09-01,50,WI,Milwaukee ,Milwaukee WI
2019-10-01,58,WI,Milwaukee ,Milwaukee WI
2019-11-01,47,WI,Milwaukee ,Milwaukee WI
2019-12-01,47,WI,Milwaukee ,Milwaukee WI
2020-01-01,61,WI,Milwaukee ,Milwaukee WI
2020-02-01,63,WI,Milwaukee ,Milwaukee WI
2020-03-01,52,WI,Milwaukee ,Milwaukee WI
2020-04-01,53,WI,Milwaukee ,Milwaukee WI
2020-05-01,47,WI,Milwaukee ,Milwaukee WI
2020-06-01,58,WI,Milwaukee ,Milwaukee WI
2020-07-01,67,WI,Milwaukee ,Milwaukee WI
2020-08-01,61,WI,Milwaukee ,Milwaukee WI
2020-09-01,53,WI,Milwaukee ,Milwaukee WI
2020-10-01,49,WI,Milwaukee ,Milwaukee WI
2020-11-01,46,WI,Milwaukee ,Milwaukee WI
2020-12-01,47,WI,Milwaukee ,Milwaukee WI
