date,housing,State,DMA,Full
2009-05-01,54,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2009-06-01,29,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2009-07-01,57,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2009-08-01,75,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2009-09-01,70,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2009-10-01,64,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2009-11-01,38,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2009-12-01,25,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2010-01-01,51,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2010-02-01,44,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2010-03-01,55,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2010-04-01,69,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2010-05-01,44,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2010-06-01,52,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2010-07-01,82,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2010-08-01,72,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2010-09-01,54,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2010-10-01,52,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2010-11-01,42,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2010-12-01,58,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2011-01-01,49,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2011-02-01,57,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2011-03-01,58,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2011-04-01,56,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2011-05-01,65,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2011-06-01,61,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2011-07-01,53,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2011-08-01,50,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2011-09-01,54,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2011-10-01,81,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2011-11-01,51,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2011-12-01,42,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2012-01-01,53,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2012-02-01,61,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2012-03-01,48,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2012-04-01,64,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2012-05-01,44,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2012-06-01,40,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2012-07-01,46,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2012-08-01,66,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2012-09-01,49,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2012-10-01,67,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2012-11-01,65,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2012-12-01,49,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2013-01-01,57,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2013-02-01,51,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2013-03-01,46,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2013-04-01,60,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2013-05-01,37,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2013-06-01,47,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2013-07-01,41,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2013-08-01,46,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2013-09-01,43,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2013-10-01,69,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2013-11-01,47,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2013-12-01,40,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2014-01-01,54,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2014-02-01,47,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2014-03-01,38,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2014-04-01,63,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2014-05-01,46,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2014-06-01,55,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2014-07-01,46,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2014-08-01,33,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2014-09-01,47,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2014-10-01,44,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2014-11-01,46,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2014-12-01,40,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2015-01-01,33,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2015-02-01,42,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2015-03-01,56,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2015-04-01,39,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2015-05-01,39,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2015-06-01,52,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2015-07-01,59,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2015-08-01,51,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2015-09-01,48,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2015-10-01,69,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2015-11-01,50,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2015-12-01,38,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2016-01-01,51,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2016-02-01,41,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2016-03-01,50,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2016-04-01,54,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2016-05-01,47,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2016-06-01,29,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2016-07-01,47,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2016-08-01,50,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2016-09-01,39,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2016-10-01,50,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2016-11-01,42,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2016-12-01,36,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2017-01-01,53,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2017-02-01,32,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2017-03-01,51,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2017-04-01,44,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2017-05-01,44,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2017-06-01,36,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2017-07-01,47,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2017-08-01,48,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2017-09-01,46,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2017-10-01,39,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2017-11-01,38,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2017-12-01,39,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2018-01-01,47,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2018-02-01,40,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2018-03-01,41,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2018-04-01,58,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2018-05-01,42,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2018-06-01,43,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2018-07-01,46,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2018-08-01,50,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2018-09-01,41,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2018-10-01,45,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2018-11-01,44,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2018-12-01,35,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2019-01-01,43,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2019-02-01,39,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2019-03-01,50,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2019-04-01,50,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2019-05-01,41,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2019-06-01,45,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2019-07-01,44,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2019-08-01,48,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2019-09-01,44,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2019-10-01,49,PA,Johnstown-Altoona ,Johnstown-Altoona PA
