date,housing,State,DMA,Full
2014-08-01,30,OR,Eugene ,Eugene OR
2014-09-01,32,OR,Eugene ,Eugene OR
2014-10-01,36,OR,Eugene ,Eugene OR
2014-11-01,27,OR,Eugene ,Eugene OR
2014-12-01,20,OR,Eugene ,Eugene OR
2015-01-01,42,OR,Eugene ,Eugene OR
2015-02-01,37,OR,Eugene ,Eugene OR
2015-03-01,38,OR,Eugene ,Eugene OR
2015-04-01,41,OR,Eugene ,Eugene OR
2015-05-01,42,OR,Eugene ,Eugene OR
2015-06-01,32,OR,Eugene ,Eugene OR
2015-07-01,47,OR,Eugene ,Eugene OR
2015-08-01,30,OR,Eugene ,Eugene OR
2015-09-01,48,OR,Eugene ,Eugene OR
2015-10-01,31,OR,Eugene ,Eugene OR
2015-11-01,27,OR,Eugene ,Eugene OR
2015-12-01,29,OR,Eugene ,Eugene OR
2016-01-01,42,OR,Eugene ,Eugene OR
2016-02-01,44,OR,Eugene ,Eugene OR
2016-03-01,48,OR,Eugene ,Eugene OR
2016-04-01,37,OR,Eugene ,Eugene OR
2016-05-01,41,OR,Eugene ,Eugene OR
2016-06-01,41,OR,Eugene ,Eugene OR
2016-07-01,41,OR,Eugene ,Eugene OR
2016-08-01,45,OR,Eugene ,Eugene OR
2016-09-01,38,OR,Eugene ,Eugene OR
2016-10-01,35,OR,Eugene ,Eugene OR
2016-11-01,27,OR,Eugene ,Eugene OR
2016-12-01,25,OR,Eugene ,Eugene OR
2017-01-01,41,OR,Eugene ,Eugene OR
2017-02-01,43,OR,Eugene ,Eugene OR
2017-03-01,45,OR,Eugene ,Eugene OR
2017-04-01,47,OR,Eugene ,Eugene OR
2017-05-01,47,OR,Eugene ,Eugene OR
2017-06-01,44,OR,Eugene ,Eugene OR
2017-07-01,33,OR,Eugene ,Eugene OR
2017-08-01,37,OR,Eugene ,Eugene OR
2017-09-01,42,OR,Eugene ,Eugene OR
2017-10-01,41,OR,Eugene ,Eugene OR
2017-11-01,35,OR,Eugene ,Eugene OR
2017-12-01,36,OR,Eugene ,Eugene OR
2018-01-01,41,OR,Eugene ,Eugene OR
2018-02-01,51,OR,Eugene ,Eugene OR
2018-03-01,50,OR,Eugene ,Eugene OR
2018-04-01,51,OR,Eugene ,Eugene OR
2018-05-01,52,OR,Eugene ,Eugene OR
2018-06-01,47,OR,Eugene ,Eugene OR
2018-07-01,41,OR,Eugene ,Eugene OR
2018-08-01,38,OR,Eugene ,Eugene OR
2018-09-01,41,OR,Eugene ,Eugene OR
2018-10-01,45,OR,Eugene ,Eugene OR
2018-11-01,47,OR,Eugene ,Eugene OR
2018-12-01,30,OR,Eugene ,Eugene OR
2019-01-01,53,OR,Eugene ,Eugene OR
2019-02-01,57,OR,Eugene ,Eugene OR
2019-03-01,51,OR,Eugene ,Eugene OR
2019-04-01,55,OR,Eugene ,Eugene OR
2019-05-01,52,OR,Eugene ,Eugene OR
2019-06-01,46,OR,Eugene ,Eugene OR
2019-07-01,42,OR,Eugene ,Eugene OR
2019-08-01,43,OR,Eugene ,Eugene OR
2019-09-01,44,OR,Eugene ,Eugene OR
2019-10-01,55,OR,Eugene ,Eugene OR
2019-11-01,43,OR,Eugene ,Eugene OR
2019-12-01,39,OR,Eugene ,Eugene OR
2020-01-01,45,OR,Eugene ,Eugene OR
2020-02-01,47,OR,Eugene ,Eugene OR
2020-03-01,36,OR,Eugene ,Eugene OR
2020-04-01,38,OR,Eugene ,Eugene OR
2020-05-01,34,OR,Eugene ,Eugene OR
2020-06-01,38,OR,Eugene ,Eugene OR
2020-07-01,41,OR,Eugene ,Eugene OR
2020-08-01,32,OR,Eugene ,Eugene OR
2020-09-01,41,OR,Eugene ,Eugene OR
2020-10-01,47,OR,Eugene ,Eugene OR
2020-11-01,33,OR,Eugene ,Eugene OR
2020-12-01,27,OR,Eugene ,Eugene OR
