date,housing,State,DMA,Full
2006-09-01,52,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2006-10-01,20,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2006-11-01,25,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2006-12-01,23,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2007-01-01,26,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2007-02-01,23,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2007-03-01,26,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2007-04-01,46,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2007-05-01,47,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2007-06-01,30,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2007-07-01,29,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2007-08-01,0,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2007-09-01,24,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2007-10-01,27,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2007-11-01,30,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2007-12-01,20,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2008-01-01,44,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2008-02-01,43,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2008-03-01,36,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2008-04-01,46,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2008-05-01,37,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2008-06-01,41,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2008-07-01,53,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2008-08-01,61,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2008-09-01,28,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2008-10-01,43,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2008-11-01,29,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2008-12-01,24,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2009-01-01,42,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2009-02-01,34,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2009-03-01,37,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2009-04-01,66,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2009-05-01,45,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2009-06-01,44,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2009-07-01,16,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2009-08-01,34,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2009-09-01,8,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2009-10-01,30,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2009-11-01,39,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2009-12-01,29,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2010-01-01,24,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2010-02-01,40,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2010-03-01,24,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2010-04-01,52,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2010-05-01,43,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2010-06-01,34,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2010-07-01,28,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2010-08-01,41,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2010-09-01,26,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2010-10-01,34,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2010-11-01,33,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2010-12-01,34,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2011-01-01,23,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2011-02-01,23,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2011-03-01,31,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2011-04-01,47,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2011-05-01,34,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2011-06-01,32,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2011-07-01,42,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2011-08-01,32,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2011-09-01,27,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2011-10-01,23,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2011-11-01,21,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2011-12-01,25,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2012-01-01,25,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2012-02-01,33,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2012-03-01,20,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2012-04-01,32,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2012-05-01,37,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2012-06-01,38,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2012-07-01,31,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2012-08-01,36,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2012-09-01,24,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2012-10-01,30,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2012-11-01,28,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2012-12-01,30,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2013-01-01,28,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2013-02-01,26,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2013-03-01,30,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2013-04-01,42,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2013-05-01,28,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2013-06-01,32,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2013-07-01,29,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2013-08-01,35,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2013-09-01,32,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2013-10-01,24,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2013-11-01,18,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2013-12-01,20,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2014-01-01,30,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2014-02-01,26,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2014-03-01,29,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2014-04-01,37,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2014-05-01,38,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2014-06-01,23,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2014-07-01,29,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2014-08-01,41,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2014-09-01,19,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2014-10-01,35,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2014-11-01,22,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2014-12-01,20,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2015-01-01,30,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2015-02-01,34,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2015-03-01,33,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2015-04-01,47,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2015-05-01,34,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2015-06-01,33,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2015-07-01,37,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2015-08-01,26,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2015-09-01,30,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2015-10-01,21,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2015-11-01,32,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2015-12-01,27,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2016-01-01,37,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2016-02-01,32,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2016-03-01,32,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2016-04-01,37,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2016-05-01,28,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2016-06-01,32,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2016-07-01,35,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2016-08-01,28,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2016-09-01,28,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2016-10-01,24,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2016-11-01,28,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2016-12-01,25,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2017-01-01,28,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2017-02-01,26,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2017-03-01,34,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2017-04-01,29,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2017-05-01,37,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2017-06-01,29,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2017-07-01,35,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2017-08-01,38,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2017-09-01,27,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2017-10-01,33,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2017-11-01,23,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2017-12-01,23,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2018-01-01,31,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2018-02-01,33,IN,South Bend-Elkhart ,South Bend-Elkhart IN
