date,house for rent,State,DMA,Full
2014-09-01,27,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2014-10-01,43,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2014-11-01,26,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2014-12-01,24,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2015-01-01,43,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2015-02-01,35,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2015-03-01,38,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2015-04-01,45,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2015-05-01,43,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2015-06-01,48,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2015-07-01,51,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2015-08-01,39,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2015-09-01,32,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2015-10-01,46,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2015-11-01,28,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2015-12-01,31,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2016-01-01,39,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2016-02-01,53,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2016-03-01,63,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2016-04-01,51,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2016-05-01,61,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2016-06-01,55,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2016-07-01,55,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2016-08-01,41,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2016-09-01,39,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2016-10-01,48,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2016-11-01,32,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2016-12-01,42,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2017-01-01,43,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2017-02-01,58,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2017-03-01,47,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2017-04-01,52,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2017-05-01,54,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2017-06-01,59,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2017-07-01,55,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
