date,apartment,State,DMA,Full
2004-01-01,83,NY,New York ,New York NY
2004-02-01,80,NY,New York ,New York NY
2004-03-01,89,NY,New York ,New York NY
2004-04-01,91,NY,New York ,New York NY
2004-05-01,87,NY,New York ,New York NY
2004-06-01,100,NY,New York ,New York NY
2004-07-01,99,NY,New York ,New York NY
2004-08-01,90,NY,New York ,New York NY
2004-09-01,72,NY,New York ,New York NY
2004-10-01,66,NY,New York ,New York NY
2004-11-01,65,NY,New York ,New York NY
2004-12-01,67,NY,New York ,New York NY
2005-01-01,79,NY,New York ,New York NY
2005-02-01,75,NY,New York ,New York NY
2005-03-01,80,NY,New York ,New York NY
2005-04-01,82,NY,New York ,New York NY
2005-05-01,78,NY,New York ,New York NY
2005-06-01,83,NY,New York ,New York NY
2005-07-01,83,NY,New York ,New York NY
2005-08-01,84,NY,New York ,New York NY
2005-09-01,68,NY,New York ,New York NY
2005-10-01,64,NY,New York ,New York NY
2005-11-01,67,NY,New York ,New York NY
2005-12-01,58,NY,New York ,New York NY
2006-01-01,71,NY,New York ,New York NY
2006-02-01,67,NY,New York ,New York NY
2006-03-01,67,NY,New York ,New York NY
2006-04-01,74,NY,New York ,New York NY
2006-05-01,65,NY,New York ,New York NY
2006-06-01,74,NY,New York ,New York NY
2006-07-01,86,NY,New York ,New York NY
2006-08-01,82,NY,New York ,New York NY
2006-09-01,59,NY,New York ,New York NY
2006-10-01,60,NY,New York ,New York NY
2006-11-01,54,NY,New York ,New York NY
2006-12-01,51,NY,New York ,New York NY
2007-01-01,63,NY,New York ,New York NY
2007-02-01,62,NY,New York ,New York NY
2007-03-01,64,NY,New York ,New York NY
2007-04-01,68,NY,New York ,New York NY
2007-05-01,73,NY,New York ,New York NY
2007-06-01,74,NY,New York ,New York NY
2007-07-01,73,NY,New York ,New York NY
2007-08-01,71,NY,New York ,New York NY
2007-09-01,60,NY,New York ,New York NY
2007-10-01,56,NY,New York ,New York NY
2007-11-01,53,NY,New York ,New York NY
2007-12-01,48,NY,New York ,New York NY
2008-01-01,68,NY,New York ,New York NY
2008-02-01,60,NY,New York ,New York NY
2008-03-01,66,NY,New York ,New York NY
2008-04-01,69,NY,New York ,New York NY
2008-05-01,65,NY,New York ,New York NY
2008-06-01,70,NY,New York ,New York NY
2008-07-01,75,NY,New York ,New York NY
2008-08-01,71,NY,New York ,New York NY
2008-09-01,60,NY,New York ,New York NY
2008-10-01,56,NY,New York ,New York NY
2008-11-01,47,NY,New York ,New York NY
2008-12-01,48,NY,New York ,New York NY
2009-01-01,61,NY,New York ,New York NY
2009-02-01,57,NY,New York ,New York NY
2009-03-01,60,NY,New York ,New York NY
2009-04-01,61,NY,New York ,New York NY
2009-05-01,60,NY,New York ,New York NY
2009-06-01,66,NY,New York ,New York NY
2009-07-01,68,NY,New York ,New York NY
2009-08-01,68,NY,New York ,New York NY
2009-09-01,54,NY,New York ,New York NY
2009-10-01,51,NY,New York ,New York NY
2009-11-01,51,NY,New York ,New York NY
2009-12-01,48,NY,New York ,New York NY
2010-01-01,60,NY,New York ,New York NY
2010-02-01,56,NY,New York ,New York NY
2010-03-01,59,NY,New York ,New York NY
2010-04-01,63,NY,New York ,New York NY
2010-05-01,59,NY,New York ,New York NY
2010-06-01,65,NY,New York ,New York NY
2010-07-01,65,NY,New York ,New York NY
2010-08-01,69,NY,New York ,New York NY
2010-09-01,58,NY,New York ,New York NY
2010-10-01,54,NY,New York ,New York NY
2010-11-01,48,NY,New York ,New York NY
2010-12-01,48,NY,New York ,New York NY
2011-01-01,56,NY,New York ,New York NY
2011-02-01,52,NY,New York ,New York NY
2011-03-01,50,NY,New York ,New York NY
2011-04-01,57,NY,New York ,New York NY
2011-05-01,63,NY,New York ,New York NY
2011-06-01,60,NY,New York ,New York NY
2011-07-01,55,NY,New York ,New York NY
2011-08-01,56,NY,New York ,New York NY
2011-09-01,53,NY,New York ,New York NY
2011-10-01,54,NY,New York ,New York NY
2011-11-01,48,NY,New York ,New York NY
2011-12-01,51,NY,New York ,New York NY
2012-01-01,56,NY,New York ,New York NY
2012-02-01,57,NY,New York ,New York NY
2012-03-01,53,NY,New York ,New York NY
2012-04-01,63,NY,New York ,New York NY
2012-05-01,60,NY,New York ,New York NY
2012-06-01,60,NY,New York ,New York NY
2012-07-01,64,NY,New York ,New York NY
2012-08-01,58,NY,New York ,New York NY
2012-09-01,53,NY,New York ,New York NY
2012-10-01,49,NY,New York ,New York NY
2012-11-01,45,NY,New York ,New York NY
2012-12-01,44,NY,New York ,New York NY
2013-01-01,55,NY,New York ,New York NY
2013-02-01,53,NY,New York ,New York NY
2013-03-01,57,NY,New York ,New York NY
2013-04-01,60,NY,New York ,New York NY
2013-05-01,60,NY,New York ,New York NY
2013-06-01,61,NY,New York ,New York NY
2013-07-01,70,NY,New York ,New York NY
2013-08-01,71,NY,New York ,New York NY
2013-09-01,53,NY,New York ,New York NY
2013-10-01,55,NY,New York ,New York NY
2013-11-01,54,NY,New York ,New York NY
2013-12-01,46,NY,New York ,New York NY
2014-01-01,60,NY,New York ,New York NY
2014-02-01,60,NY,New York ,New York NY
2014-03-01,65,NY,New York ,New York NY
