date,apartment,State,DMA,Full
2017-05-01,31,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-06-01,35,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-07-01,30,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-08-01,29,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-09-01,24,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-10-01,25,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-11-01,23,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2017-12-01,24,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-01-01,30,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-02-01,28,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-03-01,27,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-04-01,29,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-05-01,27,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-06-01,29,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-07-01,30,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-08-01,26,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-09-01,25,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-10-01,30,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-11-01,27,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2018-12-01,25,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-01-01,28,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-02-01,30,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-03-01,30,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-04-01,31,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-05-01,29,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-06-01,30,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-07-01,30,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-08-01,32,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-09-01,28,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-10-01,28,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-11-01,22,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2019-12-01,27,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-01-01,27,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-02-01,33,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-03-01,27,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-04-01,28,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-05-01,32,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-06-01,31,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-07-01,36,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-08-01,29,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-09-01,29,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-10-01,30,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-11-01,23,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
2020-12-01,20,VA,Roanoke-Lynchburg ,Roanoke-Lynchburg VA
