date,apartment,State,DMA,Full
2009-01-01,9,IN,Ft. Wayne ,Ft. Wayne IN
2009-02-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2009-03-01,26,IN,Ft. Wayne ,Ft. Wayne IN
2009-04-01,0,IN,Ft. Wayne ,Ft. Wayne IN
2009-05-01,28,IN,Ft. Wayne ,Ft. Wayne IN
2009-06-01,25,IN,Ft. Wayne ,Ft. Wayne IN
2009-07-01,22,IN,Ft. Wayne ,Ft. Wayne IN
2009-08-01,26,IN,Ft. Wayne ,Ft. Wayne IN
2009-09-01,0,IN,Ft. Wayne ,Ft. Wayne IN
2009-10-01,40,IN,Ft. Wayne ,Ft. Wayne IN
2009-11-01,23,IN,Ft. Wayne ,Ft. Wayne IN
2009-12-01,18,IN,Ft. Wayne ,Ft. Wayne IN
2010-01-01,14,IN,Ft. Wayne ,Ft. Wayne IN
2010-02-01,27,IN,Ft. Wayne ,Ft. Wayne IN
2010-03-01,28,IN,Ft. Wayne ,Ft. Wayne IN
2010-04-01,23,IN,Ft. Wayne ,Ft. Wayne IN
2010-05-01,0,IN,Ft. Wayne ,Ft. Wayne IN
2010-06-01,32,IN,Ft. Wayne ,Ft. Wayne IN
2010-07-01,41,IN,Ft. Wayne ,Ft. Wayne IN
2010-08-01,10,IN,Ft. Wayne ,Ft. Wayne IN
2010-09-01,50,IN,Ft. Wayne ,Ft. Wayne IN
2010-10-01,46,IN,Ft. Wayne ,Ft. Wayne IN
2010-11-01,11,IN,Ft. Wayne ,Ft. Wayne IN
2010-12-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2011-01-01,22,IN,Ft. Wayne ,Ft. Wayne IN
2011-02-01,15,IN,Ft. Wayne ,Ft. Wayne IN
2011-03-01,29,IN,Ft. Wayne ,Ft. Wayne IN
2011-04-01,21,IN,Ft. Wayne ,Ft. Wayne IN
2011-05-01,23,IN,Ft. Wayne ,Ft. Wayne IN
2011-06-01,13,IN,Ft. Wayne ,Ft. Wayne IN
2011-07-01,21,IN,Ft. Wayne ,Ft. Wayne IN
2011-08-01,27,IN,Ft. Wayne ,Ft. Wayne IN
2011-09-01,18,IN,Ft. Wayne ,Ft. Wayne IN
2011-10-01,18,IN,Ft. Wayne ,Ft. Wayne IN
2011-11-01,18,IN,Ft. Wayne ,Ft. Wayne IN
2011-12-01,13,IN,Ft. Wayne ,Ft. Wayne IN
2012-01-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2012-02-01,17,IN,Ft. Wayne ,Ft. Wayne IN
2012-03-01,16,IN,Ft. Wayne ,Ft. Wayne IN
2012-04-01,25,IN,Ft. Wayne ,Ft. Wayne IN
2012-05-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2012-06-01,15,IN,Ft. Wayne ,Ft. Wayne IN
2012-07-01,22,IN,Ft. Wayne ,Ft. Wayne IN
2012-08-01,18,IN,Ft. Wayne ,Ft. Wayne IN
