date,apartment,State,DMA,Full
2008-06-01,0,MI,Marquette ,Marquette MI
2008-07-01,45,MI,Marquette ,Marquette MI
2008-08-01,0,MI,Marquette ,Marquette MI
2008-09-01,0,MI,Marquette ,Marquette MI
2008-10-01,21,MI,Marquette ,Marquette MI
2008-11-01,16,MI,Marquette ,Marquette MI
2008-12-01,31,MI,Marquette ,Marquette MI
2009-01-01,0,MI,Marquette ,Marquette MI
2009-02-01,30,MI,Marquette ,Marquette MI
2009-03-01,14,MI,Marquette ,Marquette MI
2009-04-01,13,MI,Marquette ,Marquette MI
2009-05-01,0,MI,Marquette ,Marquette MI
2009-06-01,0,MI,Marquette ,Marquette MI
2009-07-01,0,MI,Marquette ,Marquette MI
2009-08-01,0,MI,Marquette ,Marquette MI
2009-09-01,46,MI,Marquette ,Marquette MI
2009-10-01,0,MI,Marquette ,Marquette MI
2009-11-01,43,MI,Marquette ,Marquette MI
2009-12-01,0,MI,Marquette ,Marquette MI
2010-01-01,0,MI,Marquette ,Marquette MI
2010-02-01,19,MI,Marquette ,Marquette MI
2010-03-01,32,MI,Marquette ,Marquette MI
2010-04-01,11,MI,Marquette ,Marquette MI
2010-05-01,25,MI,Marquette ,Marquette MI
2010-06-01,26,MI,Marquette ,Marquette MI
2010-07-01,23,MI,Marquette ,Marquette MI
2010-08-01,20,MI,Marquette ,Marquette MI
2010-09-01,33,MI,Marquette ,Marquette MI
2010-10-01,0,MI,Marquette ,Marquette MI
2010-11-01,26,MI,Marquette ,Marquette MI
2010-12-01,0,MI,Marquette ,Marquette MI
2011-01-01,14,MI,Marquette ,Marquette MI
2011-02-01,8,MI,Marquette ,Marquette MI
2011-03-01,38,MI,Marquette ,Marquette MI
2011-04-01,19,MI,Marquette ,Marquette MI
2011-05-01,16,MI,Marquette ,Marquette MI
2011-06-01,14,MI,Marquette ,Marquette MI
2011-07-01,22,MI,Marquette ,Marquette MI
2011-08-01,0,MI,Marquette ,Marquette MI
2011-09-01,14,MI,Marquette ,Marquette MI
2011-10-01,7,MI,Marquette ,Marquette MI
2011-11-01,13,MI,Marquette ,Marquette MI
2011-12-01,17,MI,Marquette ,Marquette MI
2012-01-01,30,MI,Marquette ,Marquette MI
2012-02-01,8,MI,Marquette ,Marquette MI
2012-03-01,12,MI,Marquette ,Marquette MI
2012-04-01,24,MI,Marquette ,Marquette MI
2012-05-01,57,MI,Marquette ,Marquette MI
2012-06-01,18,MI,Marquette ,Marquette MI
2012-07-01,46,MI,Marquette ,Marquette MI
2012-08-01,36,MI,Marquette ,Marquette MI
