date,apartment,State,DMA,Full
2011-06-01,52,PA,Pittsburgh ,Pittsburgh PA
2011-07-01,52,PA,Pittsburgh ,Pittsburgh PA
2011-08-01,52,PA,Pittsburgh ,Pittsburgh PA
2011-09-01,39,PA,Pittsburgh ,Pittsburgh PA
2011-10-01,39,PA,Pittsburgh ,Pittsburgh PA
2011-11-01,36,PA,Pittsburgh ,Pittsburgh PA
2011-12-01,35,PA,Pittsburgh ,Pittsburgh PA
2012-01-01,46,PA,Pittsburgh ,Pittsburgh PA
2012-02-01,51,PA,Pittsburgh ,Pittsburgh PA
2012-03-01,47,PA,Pittsburgh ,Pittsburgh PA
2012-04-01,50,PA,Pittsburgh ,Pittsburgh PA
2012-05-01,54,PA,Pittsburgh ,Pittsburgh PA
2012-06-01,53,PA,Pittsburgh ,Pittsburgh PA
2012-07-01,53,PA,Pittsburgh ,Pittsburgh PA
2012-08-01,51,PA,Pittsburgh ,Pittsburgh PA
2012-09-01,39,PA,Pittsburgh ,Pittsburgh PA
2012-10-01,35,PA,Pittsburgh ,Pittsburgh PA
2012-11-01,35,PA,Pittsburgh ,Pittsburgh PA
2012-12-01,37,PA,Pittsburgh ,Pittsburgh PA
2013-01-01,49,PA,Pittsburgh ,Pittsburgh PA
2013-02-01,39,PA,Pittsburgh ,Pittsburgh PA
2013-03-01,43,PA,Pittsburgh ,Pittsburgh PA
2013-04-01,40,PA,Pittsburgh ,Pittsburgh PA
2013-05-01,46,PA,Pittsburgh ,Pittsburgh PA
2013-06-01,53,PA,Pittsburgh ,Pittsburgh PA
2013-07-01,41,PA,Pittsburgh ,Pittsburgh PA
2013-08-01,40,PA,Pittsburgh ,Pittsburgh PA
2013-09-01,37,PA,Pittsburgh ,Pittsburgh PA
2013-10-01,30,PA,Pittsburgh ,Pittsburgh PA
2013-11-01,31,PA,Pittsburgh ,Pittsburgh PA
2013-12-01,36,PA,Pittsburgh ,Pittsburgh PA
2014-01-01,41,PA,Pittsburgh ,Pittsburgh PA
2014-02-01,42,PA,Pittsburgh ,Pittsburgh PA
2014-03-01,51,PA,Pittsburgh ,Pittsburgh PA
2014-04-01,47,PA,Pittsburgh ,Pittsburgh PA
2014-05-01,44,PA,Pittsburgh ,Pittsburgh PA
2014-06-01,42,PA,Pittsburgh ,Pittsburgh PA
2014-07-01,50,PA,Pittsburgh ,Pittsburgh PA
2014-08-01,44,PA,Pittsburgh ,Pittsburgh PA
2014-09-01,40,PA,Pittsburgh ,Pittsburgh PA
2014-10-01,40,PA,Pittsburgh ,Pittsburgh PA
2014-11-01,38,PA,Pittsburgh ,Pittsburgh PA
2014-12-01,38,PA,Pittsburgh ,Pittsburgh PA
2015-01-01,46,PA,Pittsburgh ,Pittsburgh PA
2015-02-01,42,PA,Pittsburgh ,Pittsburgh PA
