date,apartment,State,DMA,Full
2010-01-01,42,VA,Charlottesville ,Charlottesville VA
2010-02-01,31,VA,Charlottesville ,Charlottesville VA
2010-03-01,53,VA,Charlottesville ,Charlottesville VA
2010-04-01,42,VA,Charlottesville ,Charlottesville VA
2010-05-01,30,VA,Charlottesville ,Charlottesville VA
2010-06-01,56,VA,Charlottesville ,Charlottesville VA
2010-07-01,42,VA,Charlottesville ,Charlottesville VA
2010-08-01,27,VA,Charlottesville ,Charlottesville VA
2010-09-01,41,VA,Charlottesville ,Charlottesville VA
2010-10-01,34,VA,Charlottesville ,Charlottesville VA
2010-11-01,17,VA,Charlottesville ,Charlottesville VA
2010-12-01,23,VA,Charlottesville ,Charlottesville VA
2011-01-01,42,VA,Charlottesville ,Charlottesville VA
2011-02-01,32,VA,Charlottesville ,Charlottesville VA
2011-03-01,24,VA,Charlottesville ,Charlottesville VA
2011-04-01,41,VA,Charlottesville ,Charlottesville VA
2011-05-01,42,VA,Charlottesville ,Charlottesville VA
2011-06-01,34,VA,Charlottesville ,Charlottesville VA
2011-07-01,41,VA,Charlottesville ,Charlottesville VA
2011-08-01,21,VA,Charlottesville ,Charlottesville VA
2011-09-01,29,VA,Charlottesville ,Charlottesville VA
2011-10-01,29,VA,Charlottesville ,Charlottesville VA
2011-11-01,28,VA,Charlottesville ,Charlottesville VA
2011-12-01,15,VA,Charlottesville ,Charlottesville VA
2012-01-01,18,VA,Charlottesville ,Charlottesville VA
2012-02-01,40,VA,Charlottesville ,Charlottesville VA
2012-03-01,42,VA,Charlottesville ,Charlottesville VA
2012-04-01,37,VA,Charlottesville ,Charlottesville VA
2012-05-01,38,VA,Charlottesville ,Charlottesville VA
2012-06-01,33,VA,Charlottesville ,Charlottesville VA
2012-07-01,46,VA,Charlottesville ,Charlottesville VA
2012-08-01,27,VA,Charlottesville ,Charlottesville VA
2012-09-01,46,VA,Charlottesville ,Charlottesville VA
2012-10-01,34,VA,Charlottesville ,Charlottesville VA
2012-11-01,20,VA,Charlottesville ,Charlottesville VA
2012-12-01,25,VA,Charlottesville ,Charlottesville VA
2013-01-01,39,VA,Charlottesville ,Charlottesville VA
2013-02-01,28,VA,Charlottesville ,Charlottesville VA
2013-03-01,49,VA,Charlottesville ,Charlottesville VA
2013-04-01,41,VA,Charlottesville ,Charlottesville VA
2013-05-01,34,VA,Charlottesville ,Charlottesville VA
2013-06-01,42,VA,Charlottesville ,Charlottesville VA
2013-07-01,38,VA,Charlottesville ,Charlottesville VA
2013-08-01,27,VA,Charlottesville ,Charlottesville VA
2013-09-01,20,VA,Charlottesville ,Charlottesville VA
2013-10-01,32,VA,Charlottesville ,Charlottesville VA
2013-11-01,22,VA,Charlottesville ,Charlottesville VA
2013-12-01,32,VA,Charlottesville ,Charlottesville VA
