date,apartment,State,DMA,Full
2012-09-01,31,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2012-10-01,19,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2012-11-01,18,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2012-12-01,25,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2013-01-01,28,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2013-02-01,17,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2013-03-01,22,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2013-04-01,17,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2013-05-01,23,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2013-06-01,26,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2013-07-01,27,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2013-08-01,30,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2013-09-01,24,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2013-10-01,18,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2013-11-01,13,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2013-12-01,27,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2014-01-01,32,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2014-02-01,23,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2014-03-01,19,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2014-04-01,30,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2014-05-01,31,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2014-06-01,25,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2014-07-01,24,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2014-08-01,23,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2014-09-01,23,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2014-10-01,24,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2014-11-01,24,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2014-12-01,18,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2015-01-01,32,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2015-02-01,23,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2015-03-01,29,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2015-04-01,28,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2015-05-01,29,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2015-06-01,26,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2015-07-01,24,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2015-08-01,30,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2015-09-01,23,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2015-10-01,13,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2015-11-01,18,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2015-12-01,26,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2016-01-01,25,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2016-02-01,24,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2016-03-01,34,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2016-04-01,29,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2016-05-01,27,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2016-06-01,33,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2016-07-01,28,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2016-08-01,29,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2016-09-01,27,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2016-10-01,25,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2016-11-01,18,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2016-12-01,29,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2017-01-01,25,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2017-02-01,23,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2017-03-01,29,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2017-04-01,27,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2017-05-01,32,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2017-06-01,30,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2017-07-01,31,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2017-08-01,28,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2017-09-01,28,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2017-10-01,19,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2017-11-01,25,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2017-12-01,24,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2018-01-01,28,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2018-02-01,30,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2018-03-01,30,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2018-04-01,29,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2018-05-01,27,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2018-06-01,33,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2018-07-01,26,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2018-08-01,27,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2018-09-01,26,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2018-10-01,25,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2018-11-01,28,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2018-12-01,24,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2019-01-01,28,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2019-02-01,30,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2019-03-01,29,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2019-04-01,30,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2019-05-01,28,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2019-06-01,26,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2019-07-01,35,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2019-08-01,27,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2019-09-01,27,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2019-10-01,24,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2019-11-01,23,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2019-12-01,28,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2020-01-01,29,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2020-02-01,33,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2020-03-01,25,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2020-04-01,28,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2020-05-01,36,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2020-06-01,29,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2020-07-01,36,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2020-08-01,36,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2020-09-01,25,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2020-10-01,27,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2020-11-01,25,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
2020-12-01,28,AL,Huntsville-Decatur (Florence) ,Huntsville-Decatur (Florence) AL
