date,apartment,State,DMA,Full
2007-09-01,60,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2007-10-01,57,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2007-11-01,38,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2007-12-01,49,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2008-01-01,37,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2008-02-01,49,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2008-03-01,68,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2008-04-01,56,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2008-05-01,62,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2008-06-01,68,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2008-07-01,72,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2008-08-01,99,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2008-09-01,68,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2008-10-01,48,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2008-11-01,56,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2008-12-01,44,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2009-01-01,59,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2009-02-01,41,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2009-03-01,59,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2009-04-01,61,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2009-05-01,47,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2009-06-01,45,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2009-07-01,65,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2009-08-01,76,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2009-09-01,55,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2009-10-01,46,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2009-11-01,32,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2009-12-01,31,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2010-01-01,46,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2010-02-01,54,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2010-03-01,47,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2010-04-01,69,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2010-05-01,50,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2010-06-01,57,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2010-07-01,47,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2010-08-01,63,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2010-09-01,45,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2010-10-01,51,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2010-11-01,37,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2010-12-01,31,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2011-01-01,59,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2011-02-01,59,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2011-03-01,49,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2011-04-01,56,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2011-05-01,56,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2011-06-01,62,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2011-07-01,47,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2011-08-01,63,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2011-09-01,56,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2011-10-01,42,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2011-11-01,50,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2011-12-01,37,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2012-01-01,58,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2012-02-01,52,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2012-03-01,60,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2012-04-01,67,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2012-05-01,61,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2012-06-01,55,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2012-07-01,68,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2012-08-01,68,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2012-09-01,43,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2012-10-01,46,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2012-11-01,43,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2012-12-01,48,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2013-01-01,51,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2013-02-01,51,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2013-03-01,63,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2013-04-01,58,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2013-05-01,52,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2013-06-01,60,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2013-07-01,69,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2013-08-01,62,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2013-09-01,42,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2013-10-01,34,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2013-11-01,48,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2013-12-01,44,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2014-01-01,51,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2014-02-01,60,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
2014-03-01,59,MA,Providence RI-New Bedford ,Providence RI-New Bedford MA
