,date,inmigracion,State
199,2020-08-01,4,MN
200,2020-09-01,4,MN
201,2020-10-01,0,MN
202,2020-11-01,3,MN
203,2020-12-01,4,MN
204,2004-01-01,0,AZ
205,2004-02-01,0,AZ
206,2004-03-01,0,AZ
207,2004-04-01,100,AZ
208,2004-05-01,0,AZ
209,2004-06-01,0,AZ
210,2004-07-01,0,AZ
211,2004-08-01,0,AZ
212,2004-09-01,0,AZ
213,2004-10-01,0,AZ
214,2004-11-01,0,AZ
215,2004-12-01,100,AZ
216,2005-01-01,75,AZ
217,2005-02-01,0,AZ
218,2005-03-01,0,AZ
219,2005-04-01,0,AZ
220,2005-05-01,0,AZ
221,2005-06-01,0,AZ
222,2005-07-01,0,AZ
223,2005-08-01,0,AZ
224,2005-09-01,0,AZ
225,2005-10-01,88,AZ
226,2005-11-01,0,AZ
227,2005-12-01,0,AZ
228,2006-01-01,36,AZ
229,2006-02-01,0,AZ
230,2006-03-01,0,AZ
231,2006-04-01,0,AZ
232,2006-05-01,52,AZ
233,2006-06-01,0,AZ
234,2006-07-01,0,AZ
235,2006-08-01,0,AZ
236,2006-09-01,0,AZ
237,2006-10-01,0,AZ
238,2006-11-01,0,AZ
239,2006-12-01,0,AZ
240,2007-01-01,60,AZ
241,2007-02-01,94,AZ
242,2007-03-01,0,AZ
243,2007-04-01,0,AZ
244,2007-05-01,33,AZ
245,2007-06-01,37,AZ
246,2007-07-01,21,AZ
247,2007-08-01,21,AZ
248,2007-09-01,18,AZ
249,2007-10-01,16,AZ
250,2007-11-01,18,AZ
251,2007-12-01,21,AZ
252,2008-01-01,30,AZ
253,2008-02-01,17,AZ
254,2008-03-01,0,AZ
255,2008-04-01,0,AZ
256,2008-05-01,19,AZ
257,2008-06-01,0,AZ
258,2008-07-01,0,AZ
259,2008-08-01,18,AZ
260,2008-09-01,30,AZ
261,2008-10-01,0,AZ
262,2008-11-01,0,AZ
263,2008-12-01,16,AZ
264,2009-01-01,33,AZ
265,2009-02-01,21,AZ
266,2009-03-01,0,AZ
267,2009-04-01,24,AZ
268,2009-05-01,27,AZ
269,2009-06-01,0,AZ
270,2009-07-01,0,AZ
271,2009-08-01,0,AZ
272,2009-09-01,38,AZ
273,2009-10-01,69,AZ
274,2009-11-01,39,AZ
275,2009-12-01,61,AZ
276,2010-01-01,35,AZ
277,2010-02-01,0,AZ
278,2010-03-01,30,AZ
279,2010-04-01,48,AZ
280,2010-05-01,39,AZ
281,2010-06-01,27,AZ
282,2010-07-01,0,AZ
283,2010-08-01,24,AZ
284,2010-09-01,26,AZ
285,2010-10-01,23,AZ
286,2010-11-01,0,AZ
287,2010-12-01,0,AZ
288,2011-01-01,29,AZ
289,2011-02-01,18,AZ
290,2011-03-01,40,AZ
291,2011-04-01,16,AZ
292,2011-05-01,28,AZ
293,2011-06-01,44,AZ
294,2011-07-01,12,AZ
295,2011-08-01,20,AZ
296,2011-09-01,36,AZ
297,2011-10-01,24,AZ
298,2011-11-01,28,AZ
299,2011-12-01,6,AZ
300,2012-01-01,44,AZ
301,2012-02-01,29,AZ
302,2012-03-01,40,AZ
303,2012-04-01,45,AZ
304,2012-05-01,29,AZ
305,2012-06-01,42,AZ
306,2012-07-01,44,AZ
307,2012-08-01,47,AZ
308,2012-09-01,0,AZ
