,date,immigration enforcement,State,DMA,Full
2051,2004-12-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2052,2005-01-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2053,2005-02-01,66,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2054,2005-03-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2055,2005-04-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2056,2005-05-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2057,2005-06-01,25,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2058,2005-07-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2059,2005-08-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2060,2005-09-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2061,2005-10-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2062,2005-11-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2063,2005-12-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2064,2006-01-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2065,2006-02-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2066,2006-03-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2067,2006-04-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2068,2006-05-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2069,2006-06-01,62,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2070,2006-07-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2071,2006-08-01,75,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2072,2006-09-01,17,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2073,2006-10-01,13,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2074,2006-11-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2075,2006-12-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2076,2007-01-01,12,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2077,2007-02-01,25,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2078,2007-03-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2079,2007-04-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2080,2007-05-01,11,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2081,2007-06-01,22,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2082,2007-07-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2083,2007-08-01,61,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2084,2007-09-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2085,2007-10-01,7,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2086,2007-11-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2087,2007-12-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2088,2008-01-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2089,2008-02-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2090,2008-03-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2091,2008-04-01,9,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2092,2008-05-01,12,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2093,2008-06-01,6,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2094,2008-07-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2095,2008-08-01,12,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2096,2008-09-01,7,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2097,2008-10-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2098,2008-11-01,9,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2099,2008-12-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2100,2009-01-01,7,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2101,2009-02-01,5,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2102,2009-03-01,14,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2103,2009-04-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2104,2009-05-01,7,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2105,2009-06-01,10,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
