date,house,State,DMA,Full
2015-07-01,68,OR,Bend ,Bend OR
2015-08-01,68,OR,Bend ,Bend OR
2015-09-01,67,OR,Bend ,Bend OR
2015-10-01,73,OR,Bend ,Bend OR
2015-11-01,68,OR,Bend ,Bend OR
2015-12-01,71,OR,Bend ,Bend OR
2016-01-01,66,OR,Bend ,Bend OR
2016-02-01,81,OR,Bend ,Bend OR
2016-03-01,72,OR,Bend ,Bend OR
2016-04-01,70,OR,Bend ,Bend OR
2016-05-01,78,OR,Bend ,Bend OR
2016-06-01,76,OR,Bend ,Bend OR
2016-07-01,71,OR,Bend ,Bend OR
2016-08-01,78,OR,Bend ,Bend OR
2016-09-01,62,OR,Bend ,Bend OR
2016-10-01,78,OR,Bend ,Bend OR
2016-11-01,76,OR,Bend ,Bend OR
2016-12-01,74,OR,Bend ,Bend OR
2017-01-01,76,OR,Bend ,Bend OR
2017-02-01,78,OR,Bend ,Bend OR
2017-03-01,75,OR,Bend ,Bend OR
2017-04-01,71,OR,Bend ,Bend OR
2017-05-01,72,OR,Bend ,Bend OR
2017-06-01,70,OR,Bend ,Bend OR
2017-07-01,78,OR,Bend ,Bend OR
2017-08-01,68,OR,Bend ,Bend OR
2017-09-01,69,OR,Bend ,Bend OR
2017-10-01,66,OR,Bend ,Bend OR
2017-11-01,72,OR,Bend ,Bend OR
2017-12-01,76,OR,Bend ,Bend OR
2018-01-01,84,OR,Bend ,Bend OR
2018-02-01,67,OR,Bend ,Bend OR
2018-03-01,73,OR,Bend ,Bend OR
2018-04-01,70,OR,Bend ,Bend OR
2018-05-01,70,OR,Bend ,Bend OR
2018-06-01,69,OR,Bend ,Bend OR
2018-07-01,74,OR,Bend ,Bend OR
2018-08-01,71,OR,Bend ,Bend OR
2018-09-01,70,OR,Bend ,Bend OR
2018-10-01,80,OR,Bend ,Bend OR
2018-11-01,84,OR,Bend ,Bend OR
2018-12-01,74,OR,Bend ,Bend OR
2019-01-01,73,OR,Bend ,Bend OR
2019-02-01,76,OR,Bend ,Bend OR
2019-03-01,76,OR,Bend ,Bend OR
2019-04-01,75,OR,Bend ,Bend OR
2019-05-01,70,OR,Bend ,Bend OR
2019-06-01,74,OR,Bend ,Bend OR
2019-07-01,76,OR,Bend ,Bend OR
2019-08-01,69,OR,Bend ,Bend OR
2019-09-01,71,OR,Bend ,Bend OR
2019-10-01,74,OR,Bend ,Bend OR
2019-11-01,78,OR,Bend ,Bend OR
2019-12-01,76,OR,Bend ,Bend OR
2020-01-01,72,OR,Bend ,Bend OR
2020-02-01,76,OR,Bend ,Bend OR
2020-03-01,74,OR,Bend ,Bend OR
2020-04-01,60,OR,Bend ,Bend OR
2020-05-01,83,OR,Bend ,Bend OR
2020-06-01,69,OR,Bend ,Bend OR
2020-07-01,74,OR,Bend ,Bend OR
2020-08-01,76,OR,Bend ,Bend OR
2020-09-01,68,OR,Bend ,Bend OR
2020-10-01,81,OR,Bend ,Bend OR
2020-11-01,77,OR,Bend ,Bend OR
2020-12-01,82,OR,Bend ,Bend OR
