date,house for sale,State,DMA,Full
2016-08-01,60,NY,New York ,New York NY
2016-09-01,54,NY,New York ,New York NY
2016-10-01,51,NY,New York ,New York NY
2016-11-01,46,NY,New York ,New York NY
2016-12-01,43,NY,New York ,New York NY
2017-01-01,56,NY,New York ,New York NY
2017-02-01,58,NY,New York ,New York NY
2017-03-01,55,NY,New York ,New York NY
2017-04-01,60,NY,New York ,New York NY
2017-05-01,61,NY,New York ,New York NY
2017-06-01,59,NY,New York ,New York NY
2017-07-01,68,NY,New York ,New York NY
2017-08-01,60,NY,New York ,New York NY
2017-09-01,56,NY,New York ,New York NY
2017-10-01,53,NY,New York ,New York NY
2017-11-01,51,NY,New York ,New York NY
2017-12-01,47,NY,New York ,New York NY
2018-01-01,51,NY,New York ,New York NY
2018-02-01,58,NY,New York ,New York NY
2018-03-01,58,NY,New York ,New York NY
2018-04-01,65,NY,New York ,New York NY
2018-05-01,56,NY,New York ,New York NY
2018-06-01,60,NY,New York ,New York NY
2018-07-01,74,NY,New York ,New York NY
2018-08-01,65,NY,New York ,New York NY
2018-09-01,62,NY,New York ,New York NY
2018-10-01,54,NY,New York ,New York NY
2018-11-01,52,NY,New York ,New York NY
2018-12-01,52,NY,New York ,New York NY
2019-01-01,58,NY,New York ,New York NY
2019-02-01,60,NY,New York ,New York NY
2019-03-01,60,NY,New York ,New York NY
2019-04-01,61,NY,New York ,New York NY
2019-05-01,61,NY,New York ,New York NY
2019-06-01,60,NY,New York ,New York NY
2019-07-01,60,NY,New York ,New York NY
2019-08-01,64,NY,New York ,New York NY
2019-09-01,55,NY,New York ,New York NY
2019-10-01,54,NY,New York ,New York NY
2019-11-01,53,NY,New York ,New York NY
2019-12-01,49,NY,New York ,New York NY
2020-01-01,58,NY,New York ,New York NY
2020-02-01,59,NY,New York ,New York NY
2020-03-01,47,NY,New York ,New York NY
2020-04-01,54,NY,New York ,New York NY
2020-05-01,73,NY,New York ,New York NY
2020-06-01,89,NY,New York ,New York NY
2020-07-01,99,NY,New York ,New York NY
2020-08-01,100,NY,New York ,New York NY
2020-09-01,85,NY,New York ,New York NY
2020-10-01,75,NY,New York ,New York NY
2020-11-01,63,NY,New York ,New York NY
2020-12-01,65,NY,New York ,New York NY
