date,house for sale,State,DMA,Full
2012-06-01,49,LA,New Orleans ,New Orleans LA
2012-07-01,43,LA,New Orleans ,New Orleans LA
2012-08-01,38,LA,New Orleans ,New Orleans LA
2012-09-01,34,LA,New Orleans ,New Orleans LA
2012-10-01,37,LA,New Orleans ,New Orleans LA
2012-11-01,33,LA,New Orleans ,New Orleans LA
2012-12-01,31,LA,New Orleans ,New Orleans LA
2013-01-01,42,LA,New Orleans ,New Orleans LA
2013-02-01,46,LA,New Orleans ,New Orleans LA
2013-03-01,43,LA,New Orleans ,New Orleans LA
2013-04-01,48,LA,New Orleans ,New Orleans LA
2013-05-01,48,LA,New Orleans ,New Orleans LA
2013-06-01,41,LA,New Orleans ,New Orleans LA
2013-07-01,51,LA,New Orleans ,New Orleans LA
2013-08-01,47,LA,New Orleans ,New Orleans LA
2013-09-01,37,LA,New Orleans ,New Orleans LA
2013-10-01,35,LA,New Orleans ,New Orleans LA
2013-11-01,38,LA,New Orleans ,New Orleans LA
2013-12-01,43,LA,New Orleans ,New Orleans LA
2014-01-01,49,LA,New Orleans ,New Orleans LA
2014-02-01,37,LA,New Orleans ,New Orleans LA
2014-03-01,42,LA,New Orleans ,New Orleans LA
2014-04-01,50,LA,New Orleans ,New Orleans LA
2014-05-01,51,LA,New Orleans ,New Orleans LA
2014-06-01,56,LA,New Orleans ,New Orleans LA
2014-07-01,49,LA,New Orleans ,New Orleans LA
2014-08-01,51,LA,New Orleans ,New Orleans LA
2014-09-01,36,LA,New Orleans ,New Orleans LA
2014-10-01,38,LA,New Orleans ,New Orleans LA
2014-11-01,34,LA,New Orleans ,New Orleans LA
2014-12-01,47,LA,New Orleans ,New Orleans LA
2015-01-01,61,LA,New Orleans ,New Orleans LA
2015-02-01,51,LA,New Orleans ,New Orleans LA
2015-03-01,63,LA,New Orleans ,New Orleans LA
2015-04-01,56,LA,New Orleans ,New Orleans LA
2015-05-01,60,LA,New Orleans ,New Orleans LA
2015-06-01,70,LA,New Orleans ,New Orleans LA
2015-07-01,64,LA,New Orleans ,New Orleans LA
2015-08-01,55,LA,New Orleans ,New Orleans LA
2015-09-01,53,LA,New Orleans ,New Orleans LA
2015-10-01,45,LA,New Orleans ,New Orleans LA
2015-11-01,49,LA,New Orleans ,New Orleans LA
2015-12-01,48,LA,New Orleans ,New Orleans LA
2016-01-01,67,LA,New Orleans ,New Orleans LA
2016-02-01,62,LA,New Orleans ,New Orleans LA
2016-03-01,55,LA,New Orleans ,New Orleans LA
2016-04-01,66,LA,New Orleans ,New Orleans LA
2016-05-01,77,LA,New Orleans ,New Orleans LA
2016-06-01,70,LA,New Orleans ,New Orleans LA
2016-07-01,73,LA,New Orleans ,New Orleans LA
2016-08-01,70,LA,New Orleans ,New Orleans LA
2016-09-01,62,LA,New Orleans ,New Orleans LA
2016-10-01,55,LA,New Orleans ,New Orleans LA
2016-11-01,51,LA,New Orleans ,New Orleans LA
2016-12-01,47,LA,New Orleans ,New Orleans LA
2017-01-01,59,LA,New Orleans ,New Orleans LA
2017-02-01,58,LA,New Orleans ,New Orleans LA
2017-03-01,66,LA,New Orleans ,New Orleans LA
2017-04-01,69,LA,New Orleans ,New Orleans LA
2017-05-01,72,LA,New Orleans ,New Orleans LA
2017-06-01,64,LA,New Orleans ,New Orleans LA
2017-07-01,90,LA,New Orleans ,New Orleans LA
2017-08-01,69,LA,New Orleans ,New Orleans LA
2017-09-01,67,LA,New Orleans ,New Orleans LA
2017-10-01,43,LA,New Orleans ,New Orleans LA
2017-11-01,61,LA,New Orleans ,New Orleans LA
2017-12-01,48,LA,New Orleans ,New Orleans LA
2018-01-01,62,LA,New Orleans ,New Orleans LA
2018-02-01,60,LA,New Orleans ,New Orleans LA
2018-03-01,68,LA,New Orleans ,New Orleans LA
2018-04-01,70,LA,New Orleans ,New Orleans LA
2018-05-01,77,LA,New Orleans ,New Orleans LA
2018-06-01,76,LA,New Orleans ,New Orleans LA
2018-07-01,79,LA,New Orleans ,New Orleans LA
2018-08-01,78,LA,New Orleans ,New Orleans LA
2018-09-01,67,LA,New Orleans ,New Orleans LA
2018-10-01,70,LA,New Orleans ,New Orleans LA
2018-11-01,49,LA,New Orleans ,New Orleans LA
2018-12-01,65,LA,New Orleans ,New Orleans LA
2019-01-01,71,LA,New Orleans ,New Orleans LA
2019-02-01,78,LA,New Orleans ,New Orleans LA
2019-03-01,70,LA,New Orleans ,New Orleans LA
2019-04-01,75,LA,New Orleans ,New Orleans LA
2019-05-01,82,LA,New Orleans ,New Orleans LA
2019-06-01,83,LA,New Orleans ,New Orleans LA
2019-07-01,79,LA,New Orleans ,New Orleans LA
2019-08-01,78,LA,New Orleans ,New Orleans LA
2019-09-01,60,LA,New Orleans ,New Orleans LA
2019-10-01,64,LA,New Orleans ,New Orleans LA
2019-11-01,66,LA,New Orleans ,New Orleans LA
2019-12-01,54,LA,New Orleans ,New Orleans LA
2020-01-01,68,LA,New Orleans ,New Orleans LA
