date,house for sale,State,DMA,Full
2012-03-01,30,NY,Rochester ,Rochester NY
2012-04-01,33,NY,Rochester ,Rochester NY
2012-05-01,36,NY,Rochester ,Rochester NY
2012-06-01,33,NY,Rochester ,Rochester NY
2012-07-01,38,NY,Rochester ,Rochester NY
2012-08-01,31,NY,Rochester ,Rochester NY
2012-09-01,30,NY,Rochester ,Rochester NY
2012-10-01,24,NY,Rochester ,Rochester NY
2012-11-01,24,NY,Rochester ,Rochester NY
2012-12-01,24,NY,Rochester ,Rochester NY
2013-01-01,32,NY,Rochester ,Rochester NY
2013-02-01,29,NY,Rochester ,Rochester NY
2013-03-01,35,NY,Rochester ,Rochester NY
2013-04-01,52,NY,Rochester ,Rochester NY
2013-05-01,45,NY,Rochester ,Rochester NY
2013-06-01,36,NY,Rochester ,Rochester NY
2013-07-01,37,NY,Rochester ,Rochester NY
2013-08-01,36,NY,Rochester ,Rochester NY
2013-09-01,27,NY,Rochester ,Rochester NY
2013-10-01,22,NY,Rochester ,Rochester NY
2013-11-01,33,NY,Rochester ,Rochester NY
2013-12-01,26,NY,Rochester ,Rochester NY
2014-01-01,30,NY,Rochester ,Rochester NY
2014-02-01,30,NY,Rochester ,Rochester NY
2014-03-01,31,NY,Rochester ,Rochester NY
2014-04-01,34,NY,Rochester ,Rochester NY
2014-05-01,43,NY,Rochester ,Rochester NY
2014-06-01,44,NY,Rochester ,Rochester NY
2014-07-01,43,NY,Rochester ,Rochester NY
2014-08-01,40,NY,Rochester ,Rochester NY
2014-09-01,44,NY,Rochester ,Rochester NY
2014-10-01,39,NY,Rochester ,Rochester NY
2014-11-01,22,NY,Rochester ,Rochester NY
2014-12-01,27,NY,Rochester ,Rochester NY
2015-01-01,31,NY,Rochester ,Rochester NY
2015-02-01,24,NY,Rochester ,Rochester NY
2015-03-01,41,NY,Rochester ,Rochester NY
2015-04-01,42,NY,Rochester ,Rochester NY
2015-05-01,48,NY,Rochester ,Rochester NY
2015-06-01,53,NY,Rochester ,Rochester NY
2015-07-01,56,NY,Rochester ,Rochester NY
2015-08-01,46,NY,Rochester ,Rochester NY
2015-09-01,37,NY,Rochester ,Rochester NY
2015-10-01,42,NY,Rochester ,Rochester NY
2015-11-01,37,NY,Rochester ,Rochester NY
2015-12-01,28,NY,Rochester ,Rochester NY
2016-01-01,43,NY,Rochester ,Rochester NY
2016-02-01,50,NY,Rochester ,Rochester NY
2016-03-01,55,NY,Rochester ,Rochester NY
2016-04-01,61,NY,Rochester ,Rochester NY
2016-05-01,69,NY,Rochester ,Rochester NY
2016-06-01,57,NY,Rochester ,Rochester NY
2016-07-01,56,NY,Rochester ,Rochester NY
2016-08-01,44,NY,Rochester ,Rochester NY
2016-09-01,55,NY,Rochester ,Rochester NY
2016-10-01,36,NY,Rochester ,Rochester NY
2016-11-01,30,NY,Rochester ,Rochester NY
2016-12-01,24,NY,Rochester ,Rochester NY
2017-01-01,42,NY,Rochester ,Rochester NY
2017-02-01,54,NY,Rochester ,Rochester NY
2017-03-01,52,NY,Rochester ,Rochester NY
2017-04-01,67,NY,Rochester ,Rochester NY
2017-05-01,62,NY,Rochester ,Rochester NY
2017-06-01,67,NY,Rochester ,Rochester NY
2017-07-01,74,NY,Rochester ,Rochester NY
2017-08-01,58,NY,Rochester ,Rochester NY
2017-09-01,52,NY,Rochester ,Rochester NY
2017-10-01,48,NY,Rochester ,Rochester NY
2017-11-01,50,NY,Rochester ,Rochester NY
2017-12-01,38,NY,Rochester ,Rochester NY
2018-01-01,48,NY,Rochester ,Rochester NY
2018-02-01,57,NY,Rochester ,Rochester NY
2018-03-01,59,NY,Rochester ,Rochester NY
2018-04-01,66,NY,Rochester ,Rochester NY
2018-05-01,83,NY,Rochester ,Rochester NY
2018-06-01,77,NY,Rochester ,Rochester NY
2018-07-01,82,NY,Rochester ,Rochester NY
2018-08-01,71,NY,Rochester ,Rochester NY
2018-09-01,51,NY,Rochester ,Rochester NY
2018-10-01,56,NY,Rochester ,Rochester NY
2018-11-01,56,NY,Rochester ,Rochester NY
2018-12-01,46,NY,Rochester ,Rochester NY
2019-01-01,57,NY,Rochester ,Rochester NY
2019-02-01,64,NY,Rochester ,Rochester NY
2019-03-01,62,NY,Rochester ,Rochester NY
2019-04-01,66,NY,Rochester ,Rochester NY
2019-05-01,76,NY,Rochester ,Rochester NY
2019-06-01,74,NY,Rochester ,Rochester NY
2019-07-01,83,NY,Rochester ,Rochester NY
2019-08-01,70,NY,Rochester ,Rochester NY
2019-09-01,51,NY,Rochester ,Rochester NY
2019-10-01,51,NY,Rochester ,Rochester NY
2019-11-01,57,NY,Rochester ,Rochester NY
2019-12-01,40,NY,Rochester ,Rochester NY
2020-01-01,50,NY,Rochester ,Rochester NY
2020-02-01,54,NY,Rochester ,Rochester NY
2020-03-01,49,NY,Rochester ,Rochester NY
2020-04-01,47,NY,Rochester ,Rochester NY
2020-05-01,79,NY,Rochester ,Rochester NY
2020-06-01,100,NY,Rochester ,Rochester NY
2020-07-01,91,NY,Rochester ,Rochester NY
2020-08-01,95,NY,Rochester ,Rochester NY
2020-09-01,61,NY,Rochester ,Rochester NY
2020-10-01,60,NY,Rochester ,Rochester NY
2020-11-01,59,NY,Rochester ,Rochester NY
2020-12-01,55,NY,Rochester ,Rochester NY
