date,house for sale,State,DMA,Full
2014-01-01,37,SC,Columbia ,Columbia SC
2014-02-01,17,SC,Columbia ,Columbia SC
2014-03-01,25,SC,Columbia ,Columbia SC
2014-04-01,30,SC,Columbia ,Columbia SC
2014-05-01,28,SC,Columbia ,Columbia SC
2014-06-01,40,SC,Columbia ,Columbia SC
2014-07-01,46,SC,Columbia ,Columbia SC
2014-08-01,22,SC,Columbia ,Columbia SC
2014-09-01,22,SC,Columbia ,Columbia SC
2014-10-01,19,SC,Columbia ,Columbia SC
2014-11-01,27,SC,Columbia ,Columbia SC
2014-12-01,18,SC,Columbia ,Columbia SC
2015-01-01,27,SC,Columbia ,Columbia SC
2015-02-01,31,SC,Columbia ,Columbia SC
2015-03-01,32,SC,Columbia ,Columbia SC
2015-04-01,41,SC,Columbia ,Columbia SC
2015-05-01,51,SC,Columbia ,Columbia SC
2015-06-01,43,SC,Columbia ,Columbia SC
2015-07-01,49,SC,Columbia ,Columbia SC
2015-08-01,29,SC,Columbia ,Columbia SC
2015-09-01,29,SC,Columbia ,Columbia SC
2015-10-01,35,SC,Columbia ,Columbia SC
2015-11-01,31,SC,Columbia ,Columbia SC
2015-12-01,39,SC,Columbia ,Columbia SC
2016-01-01,43,SC,Columbia ,Columbia SC
2016-02-01,39,SC,Columbia ,Columbia SC
2016-03-01,49,SC,Columbia ,Columbia SC
2016-04-01,54,SC,Columbia ,Columbia SC
2016-05-01,51,SC,Columbia ,Columbia SC
2016-06-01,59,SC,Columbia ,Columbia SC
2016-07-01,51,SC,Columbia ,Columbia SC
2016-08-01,36,SC,Columbia ,Columbia SC
2016-09-01,38,SC,Columbia ,Columbia SC
2016-10-01,38,SC,Columbia ,Columbia SC
2016-11-01,23,SC,Columbia ,Columbia SC
2016-12-01,33,SC,Columbia ,Columbia SC
2017-01-01,42,SC,Columbia ,Columbia SC
2017-02-01,28,SC,Columbia ,Columbia SC
2017-03-01,45,SC,Columbia ,Columbia SC
2017-04-01,46,SC,Columbia ,Columbia SC
2017-05-01,47,SC,Columbia ,Columbia SC
2017-06-01,57,SC,Columbia ,Columbia SC
2017-07-01,49,SC,Columbia ,Columbia SC
2017-08-01,47,SC,Columbia ,Columbia SC
2017-09-01,34,SC,Columbia ,Columbia SC
2017-10-01,41,SC,Columbia ,Columbia SC
2017-11-01,33,SC,Columbia ,Columbia SC
2017-12-01,30,SC,Columbia ,Columbia SC
2018-01-01,41,SC,Columbia ,Columbia SC
2018-02-01,44,SC,Columbia ,Columbia SC
2018-03-01,50,SC,Columbia ,Columbia SC
2018-04-01,41,SC,Columbia ,Columbia SC
2018-05-01,40,SC,Columbia ,Columbia SC
2018-06-01,41,SC,Columbia ,Columbia SC
2018-07-01,48,SC,Columbia ,Columbia SC
2018-08-01,46,SC,Columbia ,Columbia SC
2018-09-01,36,SC,Columbia ,Columbia SC
2018-10-01,44,SC,Columbia ,Columbia SC
2018-11-01,37,SC,Columbia ,Columbia SC
2018-12-01,42,SC,Columbia ,Columbia SC
2019-01-01,47,SC,Columbia ,Columbia SC
2019-02-01,41,SC,Columbia ,Columbia SC
2019-03-01,50,SC,Columbia ,Columbia SC
2019-04-01,57,SC,Columbia ,Columbia SC
2019-05-01,52,SC,Columbia ,Columbia SC
2019-06-01,59,SC,Columbia ,Columbia SC
2019-07-01,59,SC,Columbia ,Columbia SC
2019-08-01,51,SC,Columbia ,Columbia SC
2019-09-01,40,SC,Columbia ,Columbia SC
2019-10-01,42,SC,Columbia ,Columbia SC
2019-11-01,41,SC,Columbia ,Columbia SC
2019-12-01,35,SC,Columbia ,Columbia SC
2020-01-01,38,SC,Columbia ,Columbia SC
2020-02-01,39,SC,Columbia ,Columbia SC
2020-03-01,34,SC,Columbia ,Columbia SC
2020-04-01,47,SC,Columbia ,Columbia SC
2020-05-01,60,SC,Columbia ,Columbia SC
2020-06-01,56,SC,Columbia ,Columbia SC
2020-07-01,62,SC,Columbia ,Columbia SC
2020-08-01,60,SC,Columbia ,Columbia SC
2020-09-01,49,SC,Columbia ,Columbia SC
2020-10-01,41,SC,Columbia ,Columbia SC
2020-11-01,40,SC,Columbia ,Columbia SC
2020-12-01,45,SC,Columbia ,Columbia SC
