date,house for sale,State,DMA,Full
2012-01-01,55,AZ,Phoenix ,Phoenix AZ
2012-02-01,49,AZ,Phoenix ,Phoenix AZ
2012-03-01,52,AZ,Phoenix ,Phoenix AZ
2012-04-01,58,AZ,Phoenix ,Phoenix AZ
2012-05-01,49,AZ,Phoenix ,Phoenix AZ
2012-06-01,53,AZ,Phoenix ,Phoenix AZ
2012-07-01,48,AZ,Phoenix ,Phoenix AZ
2012-08-01,47,AZ,Phoenix ,Phoenix AZ
2012-09-01,42,AZ,Phoenix ,Phoenix AZ
2012-10-01,37,AZ,Phoenix ,Phoenix AZ
2012-11-01,42,AZ,Phoenix ,Phoenix AZ
2012-12-01,34,AZ,Phoenix ,Phoenix AZ
2013-01-01,55,AZ,Phoenix ,Phoenix AZ
2013-02-01,47,AZ,Phoenix ,Phoenix AZ
2013-03-01,47,AZ,Phoenix ,Phoenix AZ
2013-04-01,50,AZ,Phoenix ,Phoenix AZ
2013-05-01,42,AZ,Phoenix ,Phoenix AZ
2013-06-01,52,AZ,Phoenix ,Phoenix AZ
2013-07-01,49,AZ,Phoenix ,Phoenix AZ
2013-08-01,53,AZ,Phoenix ,Phoenix AZ
2013-09-01,40,AZ,Phoenix ,Phoenix AZ
2013-10-01,43,AZ,Phoenix ,Phoenix AZ
2013-11-01,44,AZ,Phoenix ,Phoenix AZ
2013-12-01,33,AZ,Phoenix ,Phoenix AZ
2014-01-01,45,AZ,Phoenix ,Phoenix AZ
2014-02-01,44,AZ,Phoenix ,Phoenix AZ
2014-03-01,51,AZ,Phoenix ,Phoenix AZ
2014-04-01,45,AZ,Phoenix ,Phoenix AZ
2014-05-01,45,AZ,Phoenix ,Phoenix AZ
2014-06-01,49,AZ,Phoenix ,Phoenix AZ
2014-07-01,53,AZ,Phoenix ,Phoenix AZ
2014-08-01,50,AZ,Phoenix ,Phoenix AZ
2014-09-01,53,AZ,Phoenix ,Phoenix AZ
2014-10-01,54,AZ,Phoenix ,Phoenix AZ
2014-11-01,47,AZ,Phoenix ,Phoenix AZ
2014-12-01,48,AZ,Phoenix ,Phoenix AZ
2015-01-01,64,AZ,Phoenix ,Phoenix AZ
2015-02-01,56,AZ,Phoenix ,Phoenix AZ
2015-03-01,70,AZ,Phoenix ,Phoenix AZ
2015-04-01,61,AZ,Phoenix ,Phoenix AZ
2015-05-01,73,AZ,Phoenix ,Phoenix AZ
2015-06-01,65,AZ,Phoenix ,Phoenix AZ
2015-07-01,75,AZ,Phoenix ,Phoenix AZ
2015-08-01,69,AZ,Phoenix ,Phoenix AZ
2015-09-01,56,AZ,Phoenix ,Phoenix AZ
